MemberType,Name,DataType
procedure,Assign,(const ASource : IPCB_3DBody)
function,Clone,IPCB_3DBody
function,FaceCount,Integer
function,FaceCountForPart,(const APartIndex : Integer) : Integer
function,FindPart,(APartName : string) : Integer
procedure,GetAABB,"(out LowX : Single, out LowY : Single, out LowZ : Single, out HighX : Single, out HighY : Single, out HighZ : Single)"
function,GetFace,(AIndex : Integer) : IPCB_3DBodyFace
function,GetFaceForPart,"(const APartIndex : Integer, AFaceIndex : Integer) : Integer"
function,GetNameOfPart,(const APartIndex : Integer) : string
function,GetPartIndex,(AIndex : Integer) : Integer
procedure,GetPartTriangleRange,"(const APartIndex : Integer, out AStartTriangleIndex : Integer, out ATrianglesCount : Integer)"
procedure,GetTriangleIndices,"(ATriangleIndex : Integer, out AVertex1Index : Integer, out AVertex2Index : Integer, out AVertex3Index : Integer)"
procedure,GetVertex,"(AIndex : Integer, out AX : Single, out AY : Single, out AZ : Single, out ANormalX : Byte, out ANormalY : Byte, out ANormalZ : Byte, out AColorR : Byte, out AColorG : Byte, out AColorB : Byte, out AColorA : Byte)"
function,PartsCount,Integer
function,RayCast,"(const ARayOriginX : Single, const ARayOriginY : Single, const ARayOriginZ : Single, const ARayDirX : Single, const ARayDirY : Single, const ARayDirZ : Single) : IPCB_3DBodyHitInfo"
function,TriangleCount,Integer
function,VertexCount,Integer
