MemberType,Name,DataType
procedure,AddLayerPair,(LowLayer : Integer, HighLayer : Integer)
function,AddMesh,(MeshString : WideString) : Integer
procedure,AddObjectToHighlightObjectList,(APrimitive : IPCB_Primitive)
procedure,AddPCBObject,(PCBObject : IPCB_Primitive)
function,AddPolygonMesh,(Shape : IPCB_Contour, z : Integer, Color : Cardinal) : Integer
property,AllowGlobalEdit,Boolean
procedure,AnalyzeNet,(const ANet : IPCB_Net)
property,AutomaticSplitPlanes,Boolean
procedure,BeginIgnoreChanges,
procedure,BeginModify,
property,BigVisibleGridMultFactor,TReal
property,BigVisibleGridSize,TReal
property,BigVisibleGridUnit,TUnit
property,Board,IPCB_Board
property,BoardID,Integer
function,BoardIterator_Create,IPCB_BoardIterator
procedure,BoardIterator_Destroy,(var AIterator : IPCB_BoardIterator)
property,BoardLayerSetManager,IPCB_BoardLayerSetManager
property,BoardOutline,IPCB_BoardOutline
property,BoardVersion,Double
function,BoundingRectangle,IDispatch
function,BoundingRectangleChildren,IDispatch
function,BoundingRectangleForPainting,IDispatch
function,BoundingRectangleForSelection,IDispatch
procedure,CancelModify,
procedure,ChangeProcessor_SystemValid,(AProcessorName: string) : Boolean
function,ChooseLocation,(var x1 : Integer, var y1 : Integer, Prompt : WideString) : Boolean
function,ChooseRectangleByCorners,"(Prompt1 : WideString, Prompt2 : WideString, var x1 : Integer, var y1 : Integer, var x2 : Integer, var y2 : Integer) : Boolean"
function,ClassNameIsUnique,(AObjectClass : IPCB_ObjectClass, AName : WideString) : Boolean
procedure,CleanNet,(const ANet : IPCB_Net)
procedure,ClearMeshes,
procedure,ClearUndoRedo,
property,Component,IPCB_Component
property,ComponentGridSize,TDouble
property,ComponentGridSizeX,TDouble
property,ComponentGridSizeY,TDouble
property,ComponentGridUnit,TDouble
procedure,ConnectivityValidateNets,
function,ContextMenuObjectCount,(ObjectId : TObjectId) : Integer
property,Coordinate,IPCB_Coordinate
procedure,CreateBoardOutline,(IPCB_BoardOutline)
property,CurrentLayer,TLayer
property,CurrentLayerV6,TV6_Layer
function,DeleteNet[I : Integer],Boolean
property,Descriptor,TPCBString
property,Detail,TPCBString
function,DifferentialPairNameIsUnique,(ADifferentialPair : IPCB_DifferentialPair, AName : WideString) : Boolean
property,Dimension,IPCB_Dimension
procedure,DispatchMessage,"(Source : IPCB_Primitive, Destination : IPCB_Primitive, MessageID : Word, MessageData : IPCB_Primitive)"
property,DisplayUnit,TUnit
procedure,DoRedo,
procedure,DoUndo,
property,DrawAsPreview,Boolean
property,DrawDotGrid,Boolean
procedure,DrawMode,(Old: TObjectId] : TDrawMode
property,DRCError,Boolean
property,DrillLayerPairsCount,Integer
property,ECOOptions,IPCB_ECOOptions
function,ElectricalLayerIterator,IPCB_LayerObjectIterator
function,ElectricalLayers,IPCB_LayerSet
procedure,EnableAllPrimitives,(Enable : Boolean)
property,Enabled,Boolean
property,EnableDraw,Boolean
property,Enabled_Direct,Boolean
property,Enabled_vComponent,Boolean
property,Enabled_vCoordinate,Boolean
property,Enabled_vDimension,Boolean
property,Enabled_vNet,Boolean
property,Enabled_vPolygon,Boolean
procedure,EndIgnoreChanges,
procedure,EndModify,
procedure,EndUndo,
procedure,Export_ToParameters,(AParams : PWideChar)
property,FileName,TPCBString
function,FindDominantRuleForObject,(APrimitive : IPCB_Primitive, ARuleKind : TRuleKind) : IPCB_Rule
function,FindDominantRuleForObjectPair,(APrimitive1 : IPCB_Primitive, APrimitive2 : IPCB_Primitive, ARuleKind : TRuleKind) : IPCB_Rule
function,FindLinkedBoardLibrary,(APrimitive : IPCB_Primitive) : IPCB_PadViaLibrary
function,FindLinkedBoardTemplate,(APrimitive : IPCB_Primitive) : IPCB_PadViaTemplate
procedure,FlipXY,(Axis : Integer, MirrOp : TMirrorOperation)
procedure,GenerateUniqueID,WideString
function,GerberOptions,IPCB_GerberOptions
procedure,GetFlexTransform,(x : Integer, y : Integer, P : Pointer)
function,GetLastClickedObject,(ObjectSet : TObjectSet, Action : TEditingAction) : IPCB_Primitive
function,GetMeshBatchFromPoint,"(X : Integer, y : Integer, var MeshID : Integer, var PatchIndex : Integer, var PatchIndex1 : Integer, var PatchIndex2 : Integer, var IntersectionX : Integer, var IntersectionY : Integer, var IntersectionZ : Integer) : Boolean"
