MemberType,Name,DataType
function,AcceptsLayer,(Layer : TV6_Layer) : Boolean
procedure,AddPCBObject,(PCBObject : IPCB_Primitive)
property,AllowGlobalEdit,Boolean
property,ArcApproximation,TCoord
property,ArcPourMode,Boolean
property,AreaSize,Double
property,AutoGenerateName,Boolean
property,AvoidObstacles,Boolean
procedure,BeginModify,
property,Board,IPCB_Board
function,BoardOutline_GeometricPolygon,IPCB_GeometricPolygon
property,BorderWidth,TCoord
function,BoundingRectangle,IDispatch
function,BoundingRectangleChildren,IDispatch
function,BoundingRectangleForPainting,IDispatch
function,BoundingRectangleForSelection,IDispatch
function,BuildFromObjects_ReturnGeometricPolygon,(ALayer : Integer) : IPCB_GeometricPolygon
procedure,CancelModify,
property,ClipAcuteCorners,Boolean
function,ClipWithPolyRegShapes,(UseHolesFromViaPad : Boolean, AUseEmbedded : Boolean) : IPCB_PolyRegShapesClipResult
property,Component,IPCB_Component
property,Coordinate,IPCB_Coordinate
procedure,CopperPourValidate,
function,CreateBendingLine,"(const AFromPoint : IDispatch, const AToPoint : IDispatch, AFoldIndex : Integer, ARadius : Integer, AAngle : Double) : IPCB_BendingLine"
function,CreateSplitLine,(const AFromPoint : IDispatch, const AToPoint : IDispatch) : IPCB_SplitBoardRegionLine
procedure,DeleteBendingLine,(ABendingLine : IPCB_BendingLine)
procedure,DeleteSplitLineAndSpline,(IPCB_SplitBoardRegionLine)
property,Descriptor,TPCBString
property,Detail,TPCBString
property,Dimension,IPCB_Dimension
property,DrawAsPreview,Boolean
property,DrawDeadCopper,Boolean
property,DrawRemovedIslands,Boolean
property,DrawRemovedNecks,Boolean
property,DRCError,Boolean
property,Enabled,Boolean
property,EnableDraw,Boolean
property,Enabled_Direct,Boolean
property,Enabled_vComponent,Boolean
property,Enabled_vCoordinate,Boolean
property,Enabled_vDimension,Boolean
property,Enabled_vNet,Boolean
property,Enabled_vPolygon,Boolean
procedure,EndModify,
property,ExpandOutline,Boolean
procedure,Export_ToParameters,(AParams : PWideChar)
function,FastSetState_XSizeYSize,Boolean
function,FindIntersectedRegions,(ABendingLine : IPCB_BendingLine)
procedure,FlipXY,(Axis : Integer, MirrOp : TMirrorOperation)
procedure,FreePrimitives,
function,GetDefaultName,WideString
function,GetPrimitiveAt,(I : Integer, ObjectId : TObjectId) : IPCB_Primitive
function,GetPrimitiveCount,(ObjectSet : TObjectSet) : Integer
function,GetState_BendingLine,(AIndex : Integer) : IPCB_BendingLine
function,GetState_BendingLinesCount,Integer
function,GetState_CopperPourInvalid,Boolean
function,GetState_DrawSplitLines,Boolean
function,GetState_HitPrimitive,(APrimitive : IPCB_Primitive) : Boolean
function,GetState_InRepour,Boolean
function,GetState_IntersectedRegionName,(AIndex : Integer) : WideString
function,GetState_SelectedBendingLine,IPCB_BendingLine
function,GetState_SplitLine,(AIndex : Integer) : IPCB_SplitBoardRegionLine
function,GetState_SplitLineCount,Integer
function,GetState_StrictHitTest,(HX : Integer, HitY : Integer) : Boolean
procedure,GraphicallyInvalidate,
property,Grid,TCoord
