MemberType,Name,DataType
property,AllowGlobalEdit,Boolean
procedure,BeginModify,
property,Board,IPCB_Board
function,BoundingRectangle,IDispatch
function,BoundingRectangleChildren,IDispatch
function,BoundingRectangleForPainting,IDispatch
function,BoundingRectangleForSelection,IDispatch
procedure,CancelModify,
property,Component,IPCB_Component
property,Coordinate,IPCB_Coordinate
property,Descriptor,TPCBString
property,Detail,TPCBString
property,Dimension,IPCB_Dimension
property,DrawAsPreview,Boolean
property,DRCError,Boolean
property,Enabled,Boolean
property,EnableDraw,Boolean
property,Enabled_Direct,Boolean
property,Enabled_vComponent,Boolean
property,Enabled_vCoordinate,Boolean
property,Enabled_vDimension,Boolean
property,Enabled_vNet,Boolean
property,Enabled_vPolygon,Boolean
procedure,EndModify,
procedure,Export_ToParameters,(AParams : PWideChar)
procedure,FlipXY,"(Axis : Integer, MirrOp : TMirrorOperation)"
procedure,GraphicallyInvalidate,
property,Handle,TPCBString
property,Identifier,TPCBString
property,InBoard,Boolean
property,InComponent,Boolean
property,InCoordinate,Boolean
property,Index,Word
property,InDimension,Boolean
property,InNet,Boolean
property,InPolygon,Boolean
property,InSelectionMemory[Index: Integer],Boolean
property,IsAssyTestpoint_Bottom,Boolean
property,IsAssyTestpoint_Top,Boolean
property,IsElectricalPrim,Boolean
function,IsFreePrimitive,Boolean
function,IsHidden,Boolean
property,IsKeepout,Boolean
property,IsPreRoute,Boolean
function,IsRedundant,Boolean
function,IsSaveable,(AVer : TAdvPCBFileFormatVersion) : Boolean
property,IsTenting,Boolean
property,IsTenting_Bottom,Boolean
property,IsTenting_Top,Boolean
property,IsTestpoint_Bottom,Boolean
property,IsTestpoint_Top,Boolean
function,I_ObjectAddress,Pointer
property,Layer,TLayer
property,Layer1,TV6_Layer
property,Layer2,TV6_Layer
property,Layer_V6,TV6_Layer
procedure,Mirror,"(Axis : Integer, MirrOp : TMirrorOperation)"
property,MiscFlag1,Boolean
property,MiscFlag2,Boolean
property,MiscFlag3,Boolean
property,Mode,TConnectionMode
property,Moveable,Boolean
procedure,MoveByXY,"(AX : Integer, AY : Integer)"
procedure,MoveToXY,"(AX : Integer, AY : Integer)"
property,Net,IPCB_Net
property,ObjectId,TObjectId
property,ObjectIDString,TPCBString
property,PadCacheRobotFlag,Boolean
property,PasteMaskExpansion,TCoord
property,Polygon,IPCB_Polygon
property,PolygonOutline,Boolean
property,PowerPlaneClearance,TCoord
property,PowerPlaneConnectStyle,TPlaneConnectStyle
property,PowerPlaneReliefExpansion,TCoord
property,ReliefAirGap,TCoord
property,ReliefConductorWidth,TCoord
property,ReliefEntries,Integer
function,Replicate,IPCB_Primitive
function,RequiredParamterSpace,Integer
procedure,RotateAroundXY,"(AX : Integer, AY : Integer, Angle : Double)"
procedure,RotateBy,(Angle : Double)
property,Selected,Boolean
procedure,SetState_Preview,"(Enable : Boolean, Color : Cardinal, Opacity : Single, z : Integer, Height : Integer, sx : Single, sy : Single, SZ : Single)"
property,SolderMaskExpansion,TCoord
procedure,SwapLayerPairs,
property,TearDrop,Boolean
property,UnionIndex,Integer
property,UniqueId,TPCBString
property,Used,Boolean
property,UserRouted,Boolean
property,ViewableObjectID,TViewableObjectID
property,x1,TCoord
property,x2,TCoord
property,y1,TCoord
property,y2,TCoord
