MemberType,Name,DataType
procedure,AddContour,"(const C : IPCB_Contour, const StartIndex : Integer, const EndIndex : Integer)"
procedure,AddPoint,"(x : Integer, y : Integer)"
property,Area,Double
procedure,Clear,
property,Count,Integer
procedure,DeletePoint,(Index : Integer)
procedure,EnsureCapacity,(Value : Integer)
procedure,InsertPoint,"(Index : Integer, x : Integer, y : Integer)"
function,IsCW,Boolean
function,Replicate,IPCB_Contour
procedure,Rotate,(AngleInDegrees : Double)
procedure,RotateAboutPoint,"(AngleInDegrees : Double, x : Integer, y : Integer)"
procedure,Translate,"(x : Integer, y : Integer)"
property,VertexList,Pointer
property,x[I: Integer],TCoord
property,y[I: Integer],TCoord
