MemberType,Name,DataType
procedure,ClipContourContour,"(SetOperation : TSetOperation, AContour : IPCB_Contour, BContour : IPCB_Contour, ResultPolygon : IPCB_GeometricPolygon)"
procedure,ClipSetContour,"(SetOperation : TSetOperation, AGeometricPolygon : IPCB_GeometricPolygon, AContour : IPCB_Contour, ResultPolygon : IPCB_GeometricPolygon)"
procedure,ClipSetSet,"(SetOperation : TSetOperation, AGeometricPolygon : IPCB_GeometricPolygon, BGeometricPolygon : IPCB_GeometricPolygon, ResultPolygon : IPCB_GeometricPolygon)"
function,CombinePolygons,"(const APolygon : IPCB_Polygon, const BPolygon : IPCB_Polygon) : IPCB_Polygon"
function,ContourArea,(AContour : IPCB_Contour) : Double
function,ContourIsCW,(AContour : IPCB_Contour) : Boolean
function,CreateInterfaceList,IInterfaceList
function,GeometricPolygonsTouch,"(AGeometricPolygon : IPCB_GeometricPolygon, BGeometricPolygon : IPCB_GeometricPolygon) : Boolean"
function,PointInContour,"(AContour : IPCB_Contour, x : Integer, y : Integer) : Boolean"
function,SplitIntoConnectedPolygons,"(AGeometricPolygon : IPCB_GeometricPolygon, ConnectedPolygons : IInterfaceList)"
procedure,UnionBatchContour,"(Contours : IInterfaceList, ResultPolygon : IPCB_GeometricPolygon)"
procedure,UnionBatchSet,"(Polygons : IInterfaceList, ResultPolygon : IPCB_GeometricPolygon)"
