MemberType,Name,DataType
procedure,AddPCBObject,(PCBObject : IPCB_Primitive)
property,AllowGlobalEdit,Boolean
procedure,BeginModify,
property,Board,IPCB_Board
property,Bold,Boolean
function,BoundingRectangle,IDispatch
function,BoundingRectangleChildren,IDispatch
function,BoundingRectangleForPainting,IDispatch
function,BoundingRectangleForSelection,IDispatch
procedure,CancelModify,
property,Component,IPCB_Component
property,Coordinate,IPCB_Coordinate
property,Descriptor,TPCBString
property,Detail,TPCBString
property,Dimension,IPCB_Dimension
property,DrawAsPreview,Boolean
property,DRCError,Boolean
property,Enabled,Boolean
property,EnableDraw,Boolean
property,Enabled_Direct,Boolean
property,Enabled_vComponent,Boolean
property,Enabled_vCoordinate,Boolean
property,Enabled_vDimension,Boolean
property,Enabled_vNet,Boolean
property,Enabled_vPolygon,Boolean
procedure,EndModify,
procedure,Export_ToParameters,(AParams : PWideChar)
function,FastSetState_XSizeYSize,Boolean
procedure,FlipXY,"(Axis : Integer, MirrOp : TMirrorOperation)"
property,FontName,TPCBString
procedure,FreePrimitives,
function,GetPrimitiveAt,"(I : Integer, ObjectId : TObjectId) : IPCB_Primitive"
function,GetPrimitiveCount,(ObjectSet : TObjectSet) : Integer
function,GetState_StrictHitTest,"(HitX : Integer, HitY : Integer) : Boolean"
procedure,GraphicallyInvalidate,
function,GroupIterator_Create,IPCB_GroupIterator
procedure,GroupIterator_Destroy,(var AIterator : IPCB_GroupIterator)
property,Handle,TPCBString
property,Identifier,TPCBString
property,InBoard,Boolean
property,InComponent,Boolean
property,InCoordinate,Boolean
property,Index,Word
property,InDimension,Boolean
property,InNet,Boolean
property,InPolygon,Boolean
property,InSelectionMemory[Index: Integer],Boolean
property,IsAssyTestpoint_Bottom,Boolean
property,IsAssyTestpoint_Top,Boolean
property,IsElectricalPrim,Boolean
function,IsFreePrimitive,Boolean
function,IsHidden,Boolean
property,IsKeepout,Boolean
property,IsPreRoute,Boolean
function,IsSaveable,(AVer : TAdvPCBFileFormatVersion) : Boolean
property,IsTenting,Boolean
property,IsTenting_Bottom,Boolean
property,IsTenting_Top,Boolean
property,IsTestpoint_Bottom,Boolean
property,IsTestpoint_Top,Boolean
property,Italic,Boolean
function,I_ObjectAddress,Pointer
property,Layer,TLayer
property,LayerUsed[L: TV6_Layer],Boolean
property,Layer_V6,TV6_Layer
property,LineWidth,TCoord
procedure,Mirror,"(Axis : Integer, MirrOp : TMirrorOperation)"
property,MiscFlag1,Boolean
property,MiscFlag2,Boolean
property,MiscFlag3,Boolean
property,Moveable,Boolean
procedure,MoveByXY,"(AX : Integer, AY : Integer)"
procedure,MoveToXY,"(AX : Integer, AY : Integer)"
property,Net,IPCB_Net
property,ObjectId,TObjectId
property,ObjectIDString,TPCBString
property,PadCacheRobotFlag,Boolean
property,PasteMaskExpansion,TCoord
property,Polygon,IPCB_Polygon
property,PolygonOutline,Boolean
property,PowerPlaneClearance,TCoord
property,PowerPlaneConnectStyle,TPlaneConnectStyle
property,PowerPlaneReliefExpansion,TCoord
property,PrimitiveLock,Boolean
property,ReliefAirGap,TCoord
property,ReliefConductorWidth,TCoord
property,ReliefEntries,Integer
procedure,RemovePCBObject,(PCBObject : IPCB_Primitive)
function,Replicate,IPCB_Primitive
function,ReplicateWithChildren,IPCB_Primitive
function,RequiredParamterSpace,Integer
procedure,RotateAroundXY,"(AX : Integer, AY : Integer, Angle : Double)"
procedure,RotateBy,(Angle : Double)
property,Rotation,TAngle
property,Selected,Boolean
procedure,SetState_LayersUsedArray,
procedure,SetState_Preview,"(Enable : Boolean, Color : Cardinal, Opacity : Single, z : Integer, Height : Integer, sx : Single, sy : Single, SZ : Single)"
function,SetState_XSizeYSize,Boolean
property,Size,TCoord
property,SolderMaskExpansion,TCoord
property,Style,TUnitStyle
procedure,SwapLayerPairs,
property,TearDrop,Boolean
function,Text,IPCB_Primitive
property,TextFont,TFontID
property,TextHeight,TCoord
property,TextWidth,TCoord
function,Track1,IPCB_Primitive
function,Track2,IPCB_Primitive
property,UnionIndex,Integer
property,UniqueId,TPCBString
property,Used,Boolean
property,UseTTFonts,Boolean
property,ViewableObjectID,TViewableObjectID
property,x,TCoord
property,y,TCoord
