MemberType,Name,DataType
procedure,"ArcExt(AType : TGeometryType; Index : Integer; out CenterX : Single; out CenterY : Single; out AngleStart : Single; out AngleEnd : Single; out Radius : Single; out Width : Single; out LowZ : Integer; out HighZ : Integer; out ColorID : IPCB_ColorID)",
function,ArcExtCount(AType : TGeometryType),Integer
procedure,"GlyphObj(Index : Integer; out SomeFloat1 : Single; out SomePos2 : Single; out ZIndex : Integer; out StartDireet : Single; out BaseDireet : Single; out TextBounds0 : Single; out TextBounds1 : Single; out TextModeScale : Single; out NoZoom : Boolean; out Sprite : IInterface; out Sprite_PosX : Single; out Sprite_PosY : Single; out Sprite_Text : Single; out Sprite_ExtX1 : Single; out Sprite_SizeY : Single; out Sprite_DirX : Single; out Sprite_DirY : Single; out Sprite_Start : Single; out Sprite_Scale : Single; out Sprite_Text1 : Single; out Sprite_Text2 : Single; out Sprite_TexV1 : Single; out Sprite_TexV2 : Single; out Sprite_ext : Single; out ColorID : IPCB_ColorID)",
function,GlyphObjCount,Integer
procedure,"Line(Index : Integer; out Pos11 : Single; out Pos12 : Single; out Pos21 : Single; out Pos22 : Single; out LowZ : Integer; out HighI : Integer; out Offset1 : Single; out ZOffset1 : Single; out Width : Single; out Dash : Single; out DashOffset : Single; out ColorID : IPCB_ColorID)",
function,LineCount,Integer
procedure,"MeshExt(Index : Integer; out SrcBody : IPCB_3DBody; out Texture : IPCB_Texture; out m00 : Single; out m01 : Single; out m02 : Single; out m03 : Single; out m10 : Single; out m11 : Single; out m12 : Single; out m13 : Single; out m20 : Single; out m21 : Single; out m22 : Single; out m23 : Single; out m30 : Single; out m31 : Single; out m32 : Single; out m33 : Single; out TextTranslU : Single; out TextTranslV : Single; out TextTransfU : Single; out TextTransfV : Single; out TextTransf2U : Single; out TextTransf2V : Single; out HasTransparentParts : Boolean; out BookPair : Integer; out LightModel : Integer)",
function,MeshExtCount,Integer
procedure,"PointObj(Index : Integer; out SomePoint1 : Single; out ZIndex : Integer; out Size : Single; out Sprite_Tex1 : Single; out Sprite_Text1 : Single; out Sprite_TexV1 : Single; out Sprite_TexV2 : Single; out Sprite_ext : Single; out ColorID : IPCB_ColorID)",
function,PointObjCount,Integer
procedure,"PolyExt(AType : TGeometryType; Index : Integer; out CopperPoly : IPCB_CopperPolygon; out IsCore : Boolean; out Outline : Boolean; out m00 : Single; out m01 : Single; out m02 : Single; out m10 : Single; out m11 : Single; out m12 : Single; out m20 : Single; out m21 : Single; out m22 : Single; out LowZ : Integer; out HighZ : Integer; out ColorID : IPCB_ColorID)",
function,PolyExtCount(AType : TGeometryType),Integer
procedure,"UniExt(AType : TGeometryType; Index : Integer; out PosX : Single; out PosY : Single; out DirX : Single; out DirY : Single; out SizeX : Single; out SizeY : Single; out Radius : Single; out LowZ : Integer; out HighZ : Integer; out QuantityWidth : Integer; out ColorID : IPCB_ColorID; out HasTransparentParts : Boolean; out HighI : Integer; out ColorID2 : IPCB_ColorID)",
function,UniExtCount(AType : TGeometryType),Integer
