MemberType,Name,DataType
procedure,ClientToPCBLocation(const x : Integer; const y : Integer; out PX : Integer; out PY : Integer),
procedure,CloseState_TemporaryWindow,
function,"GetExtents_Camera(out LookAtX : Single; out LookAtY : Single; out LookAtZ : Single; out Zoom : Double; out Width : Integer; out Height : Integer; const BoardFlipped : Boolean)",Boolean
function,"GetExtents_CameraIncludeComponents(out LookAtX : Single; out LookAtY : Single; out LookAtZ : Single; out Zoom : Double; out Width : Integer; out Height : Integer; const BoardFlipped : Boolean)",Boolean
function,"GetExtents_CameraIncludeComponents3dBox(out LookAtX : Single; out LookAtY : Single; out LookAtZ : Single; out XSize : Integer; out YSize : Integer; out ZSize : Integer; const AllLayers : Boolean; const SelectedObjects : Boolean)",Boolean
function,"GetExtents_CameraIncludeComponentsExt(out LookAtX : Single; out LookAtY : Single; out LookAtZ : Single; out Zoom : Double; out Width : Integer; out Height : Integer; const BoardFlipped : Boolean; const AllLayers : Boolean; const SelectedObjects : Boolean)",Boolean
function,GetState_AspectRatio,Single
function,"GetState_Camera(out LookAtX : Single; out LookAtY : Single; out LookAtZ : Single; out QuatX : Single; out QuatY : Single; out QuatZ : Single; out QuatW : Single; out Zoom : Double)",Boolean
function,GetState_CameraFov(out Fov : Single),Boolean
function,GetState_CameraUpVector(out UpX : Single; out UpY : Single; out UpZ : Single),Boolean
function,GetState_FoldingRate,Single
function,GetState_ViewMode,TPCBViewMode
function,GetState_ViewPortMils(out Width : Integer; out Height : Integer),Boolean
function,GetState_WindowSize(out Width : Integer; out Height : Integer),Boolean
function,HasPausedProcess,Boolean
function,HasRunningProcess,Boolean
function,InRoutingProcess,Boolean
function,Is3D,Boolean
procedure,PCBLocationToClient(const x : Integer; const y : Integer; out PX : Integer; out PY : Integer),
procedure,RenderToDC(DC : NativeUInt; const ResX : Integer; const ResY : Integer; const DestRect : IDispatch; const SrcRect : IDispatch),
procedure,RenderToDCTransparent(DC : NativeUInt; const ResX : Integer; const ResY : Integer; const DestRect : IDispatch; const SrcRect : IDispatch; const Transparent : Boolean),
procedure,SetIs3D(AValue : Boolean),
function,"SetState_Camera(const LookAtX : Single; const LookAtY : Single; const LookAtZ : Single; const QuatX : Single; const QuatY : Single; const QuatZ : Single; const QuatW : Single; const Zoom : Double)",Boolean
function,SetState_CameraFov(const Fov : Single),Boolean
function,SetState_CameraUpVector(const UpX : Single; const UpY : Single; const UpZ : Single),Boolean
procedure,SetState_FoldingRate(Value : Single),
procedure,SetState_FoldingRateWithAnimation(Value : Single),
function,SetState_TemporaryWindow(Width : Integer; Height : Integer),Boolean
procedure,SetState_ViewMode(Value : TPCBViewMode),
function,SetState_ViewPortMils(const Width : Integer; const Height : Integer),Boolean
procedure,ZoomBoard,
