MemberType,Name,DataType
function,AddFilter_ElectricalLayers,IPCB_LayerIterator
function,AddFilter_InternalPlaneLayers,IPCB_LayerIterator
function,AddFilter_LayerSet,ALayerSet : IPCB_LayerSet) : IPCB_LayerIterator
function,AddFilter_MechanicalLayers,IPCB_LayerIterator
function,AddFilter_MiscLayers,IPCB_LayerIterator
function,AddFilter_SignalLayers,IPCB_LayerIterator
function,First,Boolean
function,Layer,Integer
function,Next,Boolean
procedure,SetBeforeFirst,
property,UseInSingleLayerMode,Boolean
