MemberType,Name,DataType
function,Complement,IPCB_LayerSet
function,Contains,L : Integer) : Boolean
function,ContainsInternalPlaneLayers,Boolean
function,EqualTo,const ALayerSet : IPCB_LayerSet) : Boolean
function,Exclude,L : Integer) : IPCB_LayerSet
function,ExcludeA,L : Integer) : IPCB_LayerSet
function,ExcludeAllLayers,IPCB_LayerSet
function,ExcludeInternalPlaneLayers,IPCB_LayerSet
function,ExcludeMechanicalLayers,IPCB_LayerSet
function,ExcludeSignalLayers,IPCB_LayerSet
function,GetFirstLayer,Integer
function,GetPartition,AType : TLayerSetPartitionType) : IPCB_LayerSetPartition
function,Include,L : Integer) : IPCB_LayerSet
function,IncludeA,L : Integer) : IPCB_LayerSet
function,IncludeAllLayers,IPCB_LayerSet
function,IncludeDielectricLayers,IPCB_LayerSet
function,IncludeInternalPlaneLayers,IPCB_LayerSet
function,IncludeMechanicalLayers,IPCB_LayerSet
function,IncludeMiscLayers,IPCB_LayerSet
function,IncludeSignalLayers,IPCB_LayerSet
function,IncludeStandardLayers,IPCB_LayerSet
function,Intersection,const LayerSet : IPCB_LayerSet) : IPCB_LayerSet
function,IsAllLayers,Boolean
function,IsEmpty,Boolean
function,IsFinite,Boolean
function,LayerIterator,IPCB_LayerIterator
function,Replicate,IPCB_LayerSet
function,SerializeToString,string
function,ToString,string
function,Union,const LayerSet : IPCB_LayerSet) : IPCB_LayerSet
