MemberType,Name,DataType
property,Board,IPCB_Board
property,DielectricBottom,IPCB_DielectricObject
property,DielectricTop,IPCB_DielectricObject
property,FirstAvailableInternalPlane,IPCB_InternalPlane_V7
function,FirstAvailableSignalLayer,IPCB_LayerObject_V7
function,FirstLayer,IPCB_LayerObject_V7
function,GetState_LayerStackStyle,TLayerStackStyle
procedure,InsertInStackAbove,Refl : IPCB_LayerObject_V7; L : IPCB_LayerObject_V7
procedure,InsertInStackBelow,Refl : IPCB_LayerObject_V7; L : IPCB_LayerObject_V7
procedure,InsertLayer,L : TV6_Layer
function,LastInternalPlane,IPCB_InternalPlane_V7
function,LastLayer,IPCB_LayerObject_V7
function,LayerObject[L: TV6_Layer],IPCB_LayerObject_V7
property,LayerObject_V7[L: Integer],IPCB_LayerObject_V7
function,LayersInStackCount,Integer
function,NextLayer,L : IPCB_LayerObject_V7) : IPCB_LayerObject_V7
function,PreviousLayer,L : IPCB_LayerObject_V7) : IPCB_LayerObject_V7
procedure,RemoveFromStack,L : IPCB_LayerObject_V7
procedure,SetState_LayerStackStyle,SS : TLayerStackStyle
property,ShowDielectricBottom,Boolean
property,ShowDielectricTop,Boolean
function,SignalLayerCount,Integer
