MemberType,Name,DataType
procedure,AddTextsForSaveList,const APrimitive : IPCB_Primitive
procedure,AddWSForLoadList,AIndex : Integer; const AText : WideString
property,Board,IPCB_Board
property,ComponentPrimitiveAtPosition,IPCB_PrimitiveAtPosition
function,CreateNestedSection,const ASectionName : WideString) : IPCB_StructuredStorage
function,CreateNestedStream,const AStreamName : WideString) : IStream
function,CreateSection,const AName : WideString) : IPCB_BinarySection
property,Features[AFeature: TStorageFeature],Boolean
property,FileName,WideString
function,GetSectionCount,Integer
function,GetState_Section,AIndex : Integer) : IPCB_BinarySection
function,GetState_SectionByName,const AName : WideString) : IPCB_BinarySection
function,IsSectionToIgnore,const ASectionName : WideString) : Boolean
function,LoadComponentFromLibrary5File,const Pattern : WideString) : IPCB_LibComponent
function,OpenNestedSection,const ASectionName : WideString) : IPCB_StructuredStorage
function,OpenNestedStream,const AStreamName : WideString) : IStream
property,PadViaLibrary,IPCB_PadViaLibrary
function,PCBFileFormatVersion,TAdvPCBFileFormatVersion
property,PCBLibrary,IPCB_Library
function,ReadComponentParamsTOC,WideString
function,ReadLayerKindMapping,IMechanicalLayerKindMap
function,RecognizeFile,Boolean
procedure,RegisterAllSectionsForExporting,
procedure,RegisterWithBoard,
function,SectionExists,const ASectionName : WideString) : Boolean
function,StreamExists,const AStreamName : WideString) : Boolean
function,TextsForSaveListCount,Integer
function,TextsForSaveListItems,AIndex : Integer) : IPCB_Primitive
