MemberType,Name,DataType
function,AddComponent,const Name : WideString) : IPCB_LibComponent
property,Board,IPCB_Board
function,ComponentCount,Integer
function,CreateNewComponent,IPCB_LibComponent
property,CurrentComponent,IPCB_LibComponent
function,DeRegisterComponent,Component : IPCB_LibComponent) : Boolean
property,FileName,TPCBString
property,FolderGUID,TPCBString
function,GetComponent,I : Integer) : IPCB_LibComponent
function,GetComponentByName,const CompName : WideString) : IPCB_LibComponent
function,GetUniqueCompName,const ATestCompName : WideString) : WideString
function,GlobalComponentUpdateOptions,IPCB_ComponentUpdateOptions
property,GridGuides,TPCBString
function,HasServerDocument,Boolean
property,IsSimpleDesignMode,Boolean
property,IsSingleComponentMode,Boolean
function,I_ObjectAddress,Pointer
property,LibraryID,Integer
function,LibraryIterator_Create,IPCB_LibraryIterator
procedure,LibraryIterator_Destroy,var AIterator : IPCB_LibraryIterator
function,LibraryLoaderSaver_Create,IPCB_LibraryLoaderSaver
procedure,LibraryLoaderSaver_Destroy,var ALoaderSaver : IPCB_LibraryLoaderSaver
property,LifeCycleDefinitionGUID,TPCBString
function,LinkDocumentToReleaseVault,Parameters : WideString; var ErrorMsg : WideString) : Boolean
procedure,Navigate_Component,ComponentName : WideString
procedure,Navigate_FirstComponent,
property,PaViaLibrary,IPCB_PadViaLibrary
procedure,RefreshView,
function,RegisterComponent,Component : IPCB_LibComponent) : Boolean
function,ReleaseDocument,Parameters : WideString; var ErrorMsg : WideString) : Boolean
function,RemoveComponent,var AComponent : IPCB_LibComponent
property,RevisionNamingSchemeGUID,TPCBString
function,SaveComponentWithLibrary,ComponentName : WideString; FileName : WideString) : Boolean
function,SaveEmptyLibrary,FileName : WideString) : Boolean
function,SetBoardToComponentByName,const ACompName : WideString) : Boolean
procedure,SetCurrentComponentReference,AX : Integer; AY : Integer
property,VaultGUID,TPCBString
