MemberType,Name,DataType
function,AddPair(Layer1 : Integer; Layer2 : Integer),Integer
function,AddPairByStackID(const LayerStack : WideString; Layer1 : Integer; Layer2 : Integer),Integer
function,AddPairToStack(LayerStack : IPCB_LayerStack; Layer1 : Integer; Layer2 : Integer),Integer
procedure,Clear,
function,Count,Integer
function,CreatePairByKind(AKind : TMechanicalLayerPairKind),Integer
procedure,Export_ToParameters(Params : PWideChar),
function,FlipLayer(var L : TV6_Layer),Boolean
function,FlipLayerV7(var L : Integer),Boolean
procedure,Import_FromParameters(Params : PWideChar),
property,LayerPair[I: Integer],TMechanicalLayerPair
property,LayerPairKind[I: Integer],TMechanicalLayerPairKind
property,LayerPairLayerStackID[I: Integer],WideString
function,LayerUsed(Layer : Integer),Boolean
function,PairDefined(Layer1 : Integer; Layer2 : Integer),Boolean
function,RemovePair(Layer1 : Integer; Layer2 : Integer),Boolean
