MemberType,Name,DataType
property,AllowGlobalEdit,Boolean
procedure,BeginModify,
property,Board,IPCB_Board
property,BoardRegion,IPCB_BoardRegion
property,BotShape,TShape
property,BotXSize,TCoord
property,BotYSize,TCoord
function,BoundingRectangle,IDispatch
function,BoundingRectangleChildren,IDispatch
function,BoundingRectangleForPainting,IDispatch
function,BoundingRectangleForSelection,IDispatch
function,BoundingRectangleOnLayer(ALayer : TV6_Layer),IDispatch
property,Cache,TPadCache
procedure,CancelModify,
procedure,ClearStackSizeAndShapes,
property,Component,IPCB_Component
property,Coordinate,IPCB_Coordinate
property,CornerRadius[L: Integer],TCoord
property,CounterHoles,IPCB_CounterHoleParamsList
property,CRPercentage[L: Integer],Byte
property,DaisyChainStyle,TDaisyChainStyle
function,DefinitionLayerIterator,IPCB_LayerIterator
property,Descriptor,TPCBString
property,Detail,TPCBString
property,Dimension,IPCB_Dimension
property,DrawAsPreview,Boolean
property,DRCError,Boolean
property,DrillType,TExtendedDrillType
procedure,EditShapeOnLayer(ALayer),
property,Enabled,Boolean
property,EnableDraw,Boolean
property,Enabled_Direct,Boolean
property,Enabled_vComponent,Boolean
property,Enabled_vCoordinate,Boolean
property,Enabled_vDimension,Boolean
property,Enabled_vNet,Boolean
property,Enabled_vPolygon,Boolean
procedure,EndModify,
procedure,Export_ToParameters(AParams : PWideChar),
procedure,FlipXYAxis(AAxis : Integer; MirOp : TMirrorOperation),
function,GetCounterHoleDiameters,IPCB_CounterHoleDiameterOnDepthList
function,GetFirstBottomCounterHole,IPCB_CounterHoleParams
function,GetFirstTopCounterHole,IPCB_CounterHoleParams
function,GetHoleXSize,Integer
function,GetHoleYSize,Integer
function,GetSourceLayerAndExpansion(const ALayer : Integer; var ASourceLayer : Integer; var AExpansion : Integer),Boolean
function,GetState_BottomLayer,Integer
function,GetState_HoleString,WideString
function,GetState_SwapID_Gate,WideString
function,GetState_TopLayer,Integer
procedure,GraphicallyInvalidate,
property,Handle,TPCBString
function,HasCornerRadiusChamfer,Boolean
function,HasCustomChamferedRectangle,Boolean
function,HasCustomDonut,Boolean
function,HasCustomMaskDonutShapes,Boolean
function,HasCustomMaskShapes,Boolean
function,HasCustomRoundedRectangle,Boolean
function,HasCustomShapes,Boolean
function,HasRoundedRectangularShapes,Boolean
property,HoleNegativeTolerance,TCoord
property,HolePositiveTolerance,TCoord
property,HoleRotation,TAngle
property,HoleSize,TCoord
function,HoleSizeOnLayer[ALayer: Integer],TCoord
property,HoleType,TExtendedHoleType
property,HoleWidth,TCoord
property,Identifier,TPCBString
property,InBoard,Boolean
property,InComponent,Boolean
property,InCoordinate,Boolean
property,Index,Word
property,InDimension,Boolean
property,InNet,Boolean
property,InPolygon,Boolean
function,InSelectionMemory(Index: Integer),Boolean
procedure,InvalidateCache,
procedure,InvalidateSizeShape,
property,IsAssyTestpoint_Bottom,Boolean
property,IsAssyTestpoint_Top,Boolean
property,IsBottomPasteEnabled,Boolean
function,IsConnectedToPlane(Layer: TV6_Layer),Boolean
function,IsCopperInsideHole(ALayer : Integer),Boolean
function,IsCounterHole,Boolean
property,IsElectricalPrim,Boolean
function,IsFreePrimitive,Boolean
function,IsHidden,Boolean
function,IsHoleSizeValid,Boolean
function,IsHoleStraddling(ALayer: IDispatch),Boolean
property,IsKeepout,Boolean
function,IsPadRemoved(ALayer: Integer),Boolean
function,IsPadStack,Boolean
property,IsPreRoute,Boolean
function,IsSaveable(AVar : TAdvPCBFileFormatVersion),Boolean
function,IsSurfaceMount,Boolean
property,IsTenting,Boolean
property,IsTenting_Bottom,Boolean
property,IsTenting_Top,Boolean
property,IsTestpoint_Bottom,Boolean
property,IsTestpoint_Top,Boolean
property,IsTopPasteEnabled,Boolean
function,IsVirtualPin,Boolean
function,I_ObjectAddress,Pointer
property,JumperID,Integer
property,Layer,TLayer
property,Layer_V6,TV6_Layer
procedure,LinkCustomShape(const APrimitive : IPCB_Primitive),
property,MaxXSignalLayers,TCoord
property,MaxYSignalLayers,TCoord
property,MidShape,TShape
property,MidXSize,TCoord
property,MidYSize,TCoord
procedure,Mirror(Axis : Integer; MirOp : TMirrorOperation),
property,MiscFlag1,Boolean
property,MiscFlag2,Boolean
property,MiscFlag3,Boolean
property,Mode,TPadMode
property,Moveable,Boolean
procedure,MoveByXY(AX : Integer; AY : Integer),
