MemberType,Name,DataType
procedure,AddSegment(const ASegment : IDispatch),
property,CRPct,Byte
property,CRPctEx,Double
property,CRSize,TCoord
property,CustomShape[AIndex: Integer],TPolySegment
property,CustomShapeInfo,IPCB_CustomShapeInfo
function,I_ObjectAddress,Pointer
property,Layer,TLayer
property,SegmentsCount,Integer
property,Shape,TShape
property,ShapeSubKind,TShapeSubKind
property,SizeX,TCoord
property,SizeY,TCoord
property,ThermalRelief,TPadViaThermalReliefData
property,UseCRPct,Boolean
