MemberType,Name,DataType
function,AddRemoveLibraries,const ABoard : IPCB_Board : WideString
function,CreateTemplate,AObjectId : TObjectId : IPCB_PadViaTemplate
function,CreateTemplateLink,IPCB_PadViaTemplateLink
procedure,ExchangeTemplatesOnPrimitives,ABoard : IPCB_Primitive; AOldTemplate : IPCB_PadViaTemplate; ANewTemplate : IPCB_PadViaTemplate; ANeedUpdate : Boolean
function,FindLibrary,const ABoard : IPCB_Board; const ALibraryID : WideString : IPCB_PadViaLibrary
function,GetInstalledLibrary,I : Integer : IPCB_PadViaLibrary
function,GetInstalledLibraryCount,Integer
function,GetLibraryName,const APrimitive : IPCB_Primitive : WideString
function,GetLinkedToLibrary,const APrimitive : IPCB_Primitive : WordBool
function,GetTemplateNameWithDynamicName,ATemplate : IPCB_PadViaTemplate : WideString
procedure,InstallLibrary,const APath : WideString
procedure,LibrariesModified,
procedure,LockUpdates,
property,NeedUpdate,Boolean
procedure,PlaceTemplate,const ABoard : IPCB_Primitive; const ATemplate : IPCB_PadViaTemplate
procedure,PlaceTemplateFromParameters,const ABoard : IPCB_Primitive; const Parameters : IParameterList
procedure,UninstallLibrary,APvLib : IPCB_PadViaLibrary
procedure,UnlockUpdates,
procedure,UpdateViews,
