MemberType,Name,DataType
procedure,CopyTo,ADest : IPCB_PadViaTemplate; ACopyMode : TCopyMode
function,CreatePrimitive,IPCB_Primitive
function,CreateTemplateLink,IPCB_PadViaTemplateLink
procedure,DecreasePrimLinkCounter,
property,DynamicName,Boolean
property,ExternalLink,IPCB_PadViaTemplateLink
function,GetFullTemplateID,WideString
function,GetHashVersion,WideString
property,Hash,WideString
function,HasLocalChanges,APrimitive : IPCB_Primitive : Boolean
property,HoleNegativeTolerance,TCoord
property,HolePositiveTolerance,TCoord
procedure,IncreasePrimLinkCounter,
property,Internal,Boolean
property,IsBackdrill,Boolean
function,I_ObjectAddress,Pointer
property,LibraryID,WideString
property,ObjectId,TObjectId
property,ObjectIDString,WideString
property,PrimLinkCount,Integer
property,RemoveUnused,Boolean
property,RevisionID,WideString
property,TemplateDescription,WideString
property,TemplateID,WideString
property,TemplateName,WideString
procedure,UpdateHash,
