MemberType,Name,DataType
procedure,CreateSharedUnion,
function,HasMaskExpansion(MaskLayer : Integer),Boolean
procedure,Import_FromUser_PostProcess,
procedure,Import_FromUser_PreProcess,
property,IsEmbeddedComponentCavity,Boolean
function,MaskExpansion(MaskLayer : Integer),Integer
property,PasteMaskEnabled,Boolean
property,PasteMaskExpansion,TCoord
property,PasteMaskExpansionMode,TMaskExpansionMode
property,PasteMaskManualEnabled,Boolean
property,PasteMaskManualPercent,Double
property,PasteMaskPercent,Double
property,PasteMaskUsePercent,Boolean
property,RoutingMinWidth,TCoord
property,RoutingViaWidth,TCoord
property,SharedUnion,IPCB_SharedUnion
property,SolderMaskExpansion,TCoord
property,SolderMaskExpansionMode,TMaskExpansionMode
procedure,SwapMaskLayersIfNeeded,
procedure,SwitchOnManualExpansionMode(ALayer : Integer),
