MemberType,Name,DataType
procedure,AddOrSetParameter(const AParameter : IPCB_Parameter),
procedure,AddParameter(const AParameter : IPCB_Parameter),
property,Appurtenance,TParameterAppurtenance
function,Count,Integer
function,ExportToList,IPCB_ParameterList
function,FindParameterByName(const AName : WideString),IPCB_Parameter
procedure,ImportFromList(const AParameters : IPCB_ParameterList),
property,IsCurrentVariant,Boolean
property,IsDefaultVariant,Boolean
property,IsFullyInherited,Boolean
property,IsFullyInheritedAllVariants,Boolean
procedure,NewValueByName(const AName : WideString; const AValue : WideString),
property,ParameterByIndex[AIndex: Integer],IPCB_Parameter
property,ParameterByName[AName: WideString],IPCB_Parameter
procedure,RemoveAllParameters,
procedure,RemoveAllParametersAndVariants,
procedure,RemoveByIndex(AIndex : Integer),
procedure,RemoveByName(const AName : WideString),
procedure,SetOrNewValueByName(const AName : WideString; const AValue : WideString),
procedure,SetParameter(const AParameter : IPCB_Parameter),
procedure,SwitchAppurtenance(AValue : TParameterAppurtenance),
procedure,SwitchToCurrentVariant,
procedure,SwitchToDefaultVariant,
procedure,SwitchToVariantByIndex(AIndex : Integer),
procedure,SwitchToVariantByName(const AVariantName : WideString),
procedure,SwitchToVariantByUniqueID(const AUniqueID),
function,TryGetValueByName(const AName : WideString; out AValue : WideString),Boolean
function,TryNewValueByName(const AName : WideString; const AValue : WideString),Boolean
function,TryRemoveByName(const AName : WideString),Boolean
function,TrySetValueByName(const AName : WideString; const AValue : WideString),Boolean
function,TrySwitchToNextVariant,Boolean
property,ValueByName[AName: WideString],TPCBString
property,ValueByNameDef,TPCBString
property,VariantCount,Integer
property,VariantIndex,Integer
property,VariantName,TPCBString
property,VariantUniqueID,TPCBString
