MemberType,Name,DataType
procedure,AddExtendedIndex,const AData : IDispatch
procedure,AddExtraPrimitive,const APrimitive : IPCB_Primitive
procedure,AddGUID,const AData : IDispatch
procedure,AddItem,const APrimitive : IPCB_Primitive
procedure,Apply,
procedure,ApplyExtendedIndices,
procedure,ApplyGUIDs,
procedure,CloseSection,
procedure,CollectExtraPrimitives,
procedure,Export_ToFile,
function,ExtendedIndexCount,Integer
function,GetExtendedIndex,AIndex : Integer : IDispatch
function,GetGUID,AIndex : Integer : IDispatch
procedure,GetIndexes,const APrimitive : IPCB_Primitive; out AvNet : Integer; out AvPolygon : Integer; out AvComponent : Integer; out AvPadOwner : Integer; out AvCoordinate : Integer; out AvDimension : Integer
function,GuidsCount,Integer
procedure,IndexExtraPrimitives,const AIndexer : IPCB_IndexForSaveIndexer
property,Items[AIndex : Integer],IPCB_Primitive
property,ItemsCount,Integer
function,NeedsToProcess,Boolean
property,Parameter,IParameterList
procedure,PrepareToSave,
property,RecordCount,Integer
procedure,RegisterWithBoard,
procedure,RemoveIndexes,const APrimitive : IPCB_Primitive
property,SectionName,WideString
function,SectionRequired,Boolean
procedure,SetIndexes,const APrimitive : IPCB_Primitive; AvNet : Integer; AvPolygon : Integer; AvComponent : Integer; AvPadOwner : Integer; AvCoordinate : Integer; AvDimension : Integer
property,StorageSection,IPCB_StructuredStorage
