MemberType,Name,DataType
function,GetState_EnableGrid,Boolean
function,GetState_HorizontalOffset,Integer
function,GetState_HorizontalSize,Integer
function,GetState_PlaneKind,TPlaneKind
function,GetState_Rotation,Double
function,GetState_VerticalOffset,Integer
function,GetState_VerticalSize,Integer
procedure,SetState_EnableGrid(AValue : Boolean),
procedure,SetState_HorizontalOffset(AValue : Integer),
procedure,SetState_HorizontalSize(AValue : Integer),
procedure,SetState_PlaneKind(AValue : TPlaneKind),
procedure,SetState_Rotation(AValue : Double),
procedure,SetState_VerticalOffset(AValue : Integer),
procedure,SetState_VerticalSize(AValue : Integer),
