MemberType,Name,DataType
function,AddArc(ACX : Integer; ACY : Integer; ARadius : Integer; ALineWidth : Integer; AAngle1 : Double; AAngle2 : Double),IPCB_Arc
property,Alignment,TSmartUnionAlignmentType
property,AllowGlobalEdit,Boolean
function,AllowSelectPrimsInUnion,Boolean
property,BasePoint,TCoordPoint
procedure,BeginModify,
property,Board,IPCB_Board
function,BoundingRectangle,IDispatch
function,BoundingRectangleChildren,IDispatch
function,BoundingRectangleForPainting,IDispatch
function,BoundingRectangleForSelection,IDispatch
procedure,CancelGroupWarehouseRegistration(APrimitive : IPCB_Primitive),
procedure,CancelModify,
property,Component,IPCB_Component
property,Coordinate,IPCB_Coordinate
property,DeleteObjectsFromUnion,
property,Descriptor,TPCBString
property,Detail,TPCBString
property,Dimension,IPCB_Dimension
procedure,DoDraw(ABoard : IPCB_Board),
property,DrawAsPreview,Boolean
property,DRCError,Boolean
function,EditingHandlesEnabled,Boolean
property,Enabled,Boolean
property,EnableDraw,Boolean
property,Enabled_Direct,Boolean
property,Enabled_vComponent,Boolean
property,Enabled_vCoordinate,Boolean
property,Enabled_vDimension,Boolean
property,Enabled_vNet,Boolean
property,Enabled_vPolygon,Boolean
procedure,EndModify,
property,ExpansionEnabled,Boolean
procedure,ExplodeToPrimitives,
procedure,Export_ToParameters(AParams : PWideChar),
procedure,FlipXY(Axis : Integer; MirOp : TMirrorOperation),
procedure,FreePrimitives,
procedure,FromString(aString : string),
function,GetState_Primitive(AIndex : Integer),IPCB_Primitive
function,GetState_PrimitivesCount,Integer
procedure,GraphicallyInvalidate,
property,Handle,TPCBString
property,HandleBeforeClear,
property,Identifier,TPCBString
property,InBoard,Boolean
property,InComponent,Boolean
property,InCoordinate,Boolean
property,Index,Word
property,InDimension,Boolean
property,InNet,Boolean
property,InPolygon,Boolean
property,InSelectionMemory[Index: Integer],Boolean
procedure,Invalidate,
function,IsAccessible(AAcion : TEditingAction),Boolean
property,IsAssyTestpoint_Bottom,Boolean
property,IsAssyTestpoint_Top,Boolean
property,IsElectricalPrim,Boolean
function,IsFreePrimitive,Boolean
function,IsHidden,Boolean
property,IsKeepout,Boolean
property,IsPreRoute,Boolean
function,IsPrimitiveValidForUnion(APrimitive : IPCB_Primitive),Boolean
property,IsRedundant,Boolean
function,IsSaveable(AVer : TAdvPCBFileFormatVersion),Boolean
property,IsTenting,Boolean
property,IsTenting_Bottom,Boolean
property,IsTenting_Top,Boolean
property,IsTestpoint_Bottom,Boolean
property,IsTestpoint_Top,Boolean
property,IsValid,Boolean
function,I_ObjectAddress,Pointer
property,Layer,TLayer
property,Layer_V6,TV6_Layer
property,MaxHeight,TCoord
procedure,Mirror(Axis : Integer; MirOp : TMirrorOperation),
property,MiscFlag1,Boolean
property,MiscFlag2,Boolean
property,MiscFlag3,Boolean
property,Moveable,Boolean
procedure,MoveByPlaceholder,
procedure,MoveByXY(AX : Integer; AY : Integer),
procedure,MoveToXY(AX : Integer; AY : Integer),
property,Net,IPCB_Net
procedure,NotifyPrimitiveMove(AX : Integer; AY : Integer; APrimitive : IPCB_Primitive),
property,ObjectId,TObjectId
property,ObjectIDString,TPCBString
property,PadCacheRobotFlag,Boolean
property,PasteMaskExpansion,TCoord
property,Placeholder,IPCB_Primitive
property,PlaceholderLocation,TCoordPoint
property,Polygon,IPCB_Polygon
property,PolygonOutline,Boolean
property,PowerPlaneClearance,TCoord
property,PowerPlaneConnectStyle,TPlaneConnectStyle
property,PowerPlaneReliefExpansion,TCoord
property,Primitives,IInterfaceList
property,PrimitivesLocked,Boolean
procedure,RebuildAfterLoad,
procedure,RecollectObjectsToUnionFromBoard,
procedure,Refresh,
procedure,RegisterOnBoard(ABoard : IPCB_Board),
procedure,RegisterWithGroupWarehouse(APrimitive : IPCB_Primitive),
property,ReliefAirGap,TCoord
property,ReliefConductorWidth,TCoord
property,ReliefEntries,Integer
function,Replicate,IPCB_Primitive
function,RequiredParameterSpace,Integer
procedure,RotateAroundXY(AX : Integer; AY : Integer; Angle : Double),
procedure,RotateBy(Angle : Double),
property,Rotation,TAngle
property,RotationCenter,TCoordPoint
property,RotationHandle,TCoordPoint
property,RotationHandleEnabled,Boolean
property,RotationHandleOffset,TCoord
property,Selected,Boolean
procedure,SetState_AutoDeregisterable(AValue : Boolean),
procedure,SetState_Preview(Enable : Boolean; Color : Cardinal; Opacity : Single; z : Integer; Height : Integer; sx : Single; sy : Single; SZ : Single),
procedure,SetState_XSizeYSize,Boolean
property,ShowUnionShape,Boolean
property,SilentRotate,Boolean
property,Size,TCoordPoint
property,SolderMaskExpansion,TCoord
procedure,SwapLayerPairs,
property,TearDrop,Boolean
property,UnionIndex,Integer
property,UnionType,TSmartUnionObjectType
property,UniqueId,TPCBString
procedure,UnRegisterFromBoard(ABoard : IPCB_Board),
property,Used,Boolean
property,UseHiddenHandles,Boolean
property,UserRouted,Boolean
property,ViewableObjectID,TViewableObjectID
property,X1Location,TCoord
property,X2Location,TCoord
property,XLocation,TCoord
property,Y1Location,TCoord
property,Y2Location,TCoord
property,YLocation,TCoord
