MemberType,Name,DataType
function,AcceptsLayer(Layer : TV6_Layer),Boolean
procedure,AddPCBObject(PCBObject : IPCB_Primitive),
property,AllowGlobalEdit,Boolean
property,ArcApproximation,TCoord
property,AreaSize,Extended
procedure,BeginModify,
property,Board,IPCB_Board
function,BoundingRectangle,IDispatch
function,BoundingRectangleChildren,IDispatch
function,BoundingRectangleForPainting,IDispatch
function,BoundingRectangleForSelection,IDispatch
procedure,CancelModify,
property,Component,IPCB_Component
property,Coordinate,IPCB_Coordinate
property,Descriptor,TPCBString
property,Detail,TPCBString
property,Dimension,IPCB_Dimension
property,DrawAsPreview,Boolean
property,DRCError,Boolean
property,Enabled,Boolean
property,EnableDraw,Boolean
property,Enabled_Direct,Boolean
property,Enabled_vComponent,Boolean
property,Enabled_vCoordinate,Boolean
property,Enabled_vDimension,Boolean
property,Enabled_vNet,Boolean
property,Enabled_vPolygon,Boolean
procedure,EndModify,
procedure,Export_ToParameters(AParams : PWideChar),
function,FastSetState_XSizeYSize,Boolean
procedure,FlipXY(Axis : Integer; MirrOp : TMirrorOperation),
procedure,FreePrimitives,
function,GetNegativeRegion,IPCB_Region
function,GetPrimitiveAt(I : Integer; ObjectId : TObjectId),IPCB_Primitive
function,GetPrimitiveCount(ObjectSet : TObjectSet),Integer
function,GetState_HitPrimitive(APrimitive : IPCB_Primitive),Boolean
function,GetState_StrictHitTest(HitX : Integer; HitY : Integer),Boolean
procedure,GraphicallyInvalidate,
function,GroupIterator_Create,IPCB_GroupIterator
procedure,GroupIterator_Destroy(var AIterator : IPCB_GroupIterator),
procedure,GrowPolyshape(ADist : Integer),
property,Handle,TPCBString
property,Identifier,TPCBString
property,InBoard,Boolean
property,InComponent,Boolean
property,InCoordinate,Boolean
property,Index,Word
property,InDimension,Boolean
property,InNet,Boolean
property,InPolygon,Boolean
property,InSelectionMemory[Index: Integer],Boolean
property,IsAssyTestpoint_Bottom,Boolean
property,IsAssyTestpoint_Top,Boolean
property,IsElectricalPrim,Boolean
function,IsFreePrimitive,Boolean
function,IsHidden,Boolean
property,IsKeepout,Boolean
property,IslandAreaThreshold,Double
property,IsPreRoute,Boolean
function,IsSaveable(AVer : TAdvPCBFileFormatVersion),Boolean
property,IsTenting,Boolean
property,IsTenting_Bottom,Boolean
property,IsTenting_Top,Boolean
property,IsTestpoint_Bottom,Boolean
property,IsTestpoint_Top,Boolean
function,I_ObjectAddress,Pointer
property,Layer,TLayer
property,LayerUsed[L: TV6_Layer],Boolean
property,Layer_V6,TV6_Layer
procedure,Mirror(Axis : Integer; MirrOp : TMirrorOperation),
property,MiscFlag1,Boolean
property,MiscFlag2,Boolean
property,MiscFlag3,Boolean
property,Moveable,Boolean
procedure,MoveByXY(AX : Integer; AY : Integer),
procedure,MoveToXY(AX : Integer; AY : Integer),
property,NeckWidthThreshold,TCoord
property,Net,IPCB_Net
property,ObjectId,TObjectId
property,ObjectIDString,TPCBString
property,OptimalVoidRotation,Boolean
property,PadCacheRobotFlag,Boolean
property,PasteMaskExpansion,TCoord
property,PointCount,Integer
function,PointInPolygon(HitX : Integer; HitY : Integer),Boolean
property,Polygon,IPCB_Polygon
property,PolygonOutline,Boolean
procedure,Pour,
property,PowerPlaneClearance,TCoord
property,PowerPlaneConnectStyle,TPlaneConnectStyle
property,PowerPlaneReliefExpansion,TCoord
function,PrimitiveInsidePoly(APrimitive : IPCB_Primitive),Boolean
property,PrimitiveLock,Boolean
property,ReliefAirGap,TCoord
property,ReliefConductorWidth,TCoord
property,ReliefEntries,Integer
property,RemoveDead,Boolean
property,RemoveIslandsByArea,Boolean
property,RemoveNarrowNecks,Boolean
procedure,RemovePCBObject(PCBObject : IPCB_Primitive),
procedure,RemovePour,
function,Replicate,IPCB_Primitive
function,ReplicateWithChildren,IPCB_Primitive
function,RequiredParameterSpace,Integer
procedure,RotateAroundXY(AX : Integer; AY : Integer; Angle : Double),
procedure,RotateBy(Angle : Double),
property,Segments[I: Integer],TPolySegment
property,Selected,Boolean
procedure,SetState_LayersUsedArray,
procedure,SetState_Preview(Enable : Boolean; Color : Cardinal; Opacity : Single; z : Integer; Height : Integer; sx : Single; sy : Single; SZ : Single),
function,SetState_XSizeYSize,Boolean
property,SolderMaskExpansion,TCoord
procedure,SwapLayerPairs,
property,TearDrop,Boolean
property,UnionIndex,Integer
property,UniqueId,TPCBString
property,Used,Boolean
property,UserRouted,Boolean
property,ViewableObjectID,TViewableObjectID
property,x,TCoord
function,xBoundingRectangle,IDispatch
property,y,TCoord
