MemberType,Name,DataType
procedure,AdjustStackObject,
function,GetLayerStack,IPCB_LayerStack
function,GetState_BottomLayer,Integer
function,GetState_BottomSignalLayer,Integer
function,GetState_Cache,IDispatch
function,GetState_HoleNegativeTolerance,Integer
function,GetState_HolePositiveTolerance,Integer
function,GetState_HoleSize,Integer
function,GetState_Mode,TPadMode
function,GetState_SolderMaskExpansionFromHoleEdge,Boolean
function,GetState_TemplateLink,IPCB_PadViaTemplateLink
function,GetState_TopLayer,Integer
function,GetState_TopSignalLayer,Integer
function,GetState_XLocation,Integer
function,GetState_YLocation,Integer
procedure,InvalidateCache,
property,IsPadRemoved[ALayer: Integer],Boolean
procedure,ResetCache,
procedure,SetState_Cache(const Value : IDispatch),
procedure,SetState_HoleNegativeTolerance(Value : Integer),
procedure,SetState_HolePositiveTolerance(Value : Integer),
procedure,SetState_HoleSize(Value : Integer),
procedure,SetState_Mode(Mode : TPadMode),
procedure,SetState_SolderMaskExpansionFromHoleEdge(AValue : Boolean),
procedure,SetState_XLocation(AX : Integer),
procedure,SetState_YLocation(AY : Integer),
