MemberType,Name,DataType
procedure,AddTextsForSaveList(const APrimitive : IPCB_Primitive),
procedure,AddWSForLoadList(AIndex : Integer; const AText : WideString),
property,Board,IPCB_Board
function,CreateNestedSection(const ASectionName : WideString),IPCB_StructuredStorage
function,CreateNestedStream(const AStreamName : WideString),IStream
function,CreateSection(const AName : WideString),IPCB_BinarySection
property,Features[AFeature: TStorageFeature],Boolean
property,FileName,WideString
function,GetSectionCount,Integer
function,GetState_Section(AIndex : Integer),IPCB_BinarySection
function,GetState_SectionByName(const AName : WideString),IPCB_BinarySection
function,IsSectionToIgnore(const ASectionName : WideString),Boolean
function,OpenNestedSection(const ASectionName : WideString),IPCB_StructuredStorage
function,OpenNestedStream(const AStreamName : WideString),IStream
property,PadViaLibrary,IPCB_PadViaLibrary
property,PCBFileFormatVersion,TAdvPCBFileFormatVersion
function,RecognizeFile,Boolean
procedure,RegisterWithBoard,
function,SectionExists(const ASectionName : WideString),Boolean
function,StreamExists(const AStreamName : WideString),Boolean
function,TextsForSaveListCount,Integer
function,TextsForSaveListItems(AIndex : Integer),IPCB_Primitive
