MemberType,Name,DataType
procedure,AddEmbeddedFont,const FullFontName : WideString; const FaceName : WideString; const StyleName : WideString; const Bold : Boolean; const Italic : Boolean; const CharSet : Byte; FontData : Pointer; DataLen : Integer; const ABoard : IPCB_Board
procedure,AddFont,const FaceName : WideString; const Bold : Boolean; const Italic : Boolean; const CharSet : Byte; const ABoard : IPCB_Board
function,CreateFontInfoRec,IPCB_FontInfoRec
property,EmbeddedFontsCount[ABoard: IPCB_Board],Integer
function,ExportFontsToList,const ABoard : IPCB_Board; const AFontsList : IPCB_WideStrings) : Integer
property,Font[I: Integer],IPCB_TTFontData
property,FontsCount,Integer
function,GetFont,const FaceName : WideString; const Bold : Boolean; const Italic : Boolean; const CharSet : Byte; const ABoard : IPCB_Board) : IPCB_TTFontData
function,GetNextEmbeddedFont,var APos : Integer; const ABoard : IPCB_Board) : IPCB_TTFontData
function,I_ObjectAddress,Pointer
procedure,StoredFontInfoCacheAdd,const AFontInfoRec : IPCB_FontInfoRec
