MemberType,Name,DataType
property,CalculatedImpedance,TDouble
property,ClearanceToPlane,TCoord
property,DiffPairGap,TCoord
property,EtchFactor,TDouble
function,GetState_DiffPairMaxGap,Integer
function,GetState_DiffPairMinGap,Integer
property,ImpedanceError,TDouble
property,ImpedanceProfile,IPCB_ImpedanceProfile
property,IsEnabled,Boolean
property,IsTraceGapLocked,Boolean
property,IsTraceWidthLocked,Boolean
function,I_ObjectAddress,Pointer
property,Layer,TLayer
property,PropagationSpeed,TDouble
property,RefBottomLayer,TLayer
property,RefTopLayer,TLayer
procedure,SetState_DiffPairMaxGap,Value : Integer
procedure,SetState_DiffPairMinGap,Value : Integer
property,SolderMaskThicknessBetweenTraces,TCoord
property,SolderMaskThicknessOnTopOfTraces,TCoord
property,Substack,IPCB_LayerStack
property,TraceMaxWidth,TCoord
property,TraceMinWidth,TCoord
property,TraceWidth,TCoord
property,UseSolderMask,Boolean
