MemberType,Name,DataType
property,AllowGlobalEdit,Boolean
procedure,BeginModify,
property,Board,IPCB_Board
function,BoundingRectangle,IDispatch
function,BoundingRectangleChildren,IDispatch
function,BoundingRectangleForPainting,IDispatch
function,BoundingRectangleForSelection,IDispatch
property,Cache,TPadCache
procedure,CancelModify,
procedure,ClearStackSizes,
property,Component,IPCB_Component
property,Coordinate,IPCB_Coordinate
property,CounterHoleParams,IPCB_CounterHoleParams
function,DefinitionLayerIterator,IPCB_LayerIterator
property,Descriptor,TPCBString
property,Detail,TPCBString
property,Dimension,IPCB_Dimension
property,DrawAsPreview,Boolean
property,DRCError,Boolean
property,DrillLayerPairType,TDrillLayerPairType
property,Enabled,Boolean
property,EnableDraw,Boolean
property,Enabled_Direct,Boolean
property,Enabled_vComponent,Boolean
property,Enabled_vCoordinate,Boolean
property,Enabled_vDimension,Boolean
property,Enabled_vNet,Boolean
property,Enabled_vPolygon,Boolean
procedure,EndModify,
procedure,Export_ToParameters(AParams : PWideChar),
procedure,FlipXY(Axis : Integer; MirOp : TMirrorOperation),
procedure,GraphicallyInvalidate,
property,Handle,TPCBString
property,Height,TCoord
property,HighLayer,TLayer
property,HoleNegativeTolerance,TCoord
property,HolePositiveTolerance,TCoord
property,HoleSize,TCoord
property,Identifier,TPCBString
property,InBoard,Boolean
property,InComponent,Boolean
property,InCoordinate,Boolean
property,Index,Word
property,InDimension,Boolean
property,InNet,Boolean
property,InPolygon,Boolean
property,InSelectionMemory[Index: Integer],Boolean
function,IntersectLayer(ALayer : Integer),Boolean
property,IsAssyTestpoint_Bottom,Boolean
property,IsAssyTestpoint_Top,Boolean
property,IsBackdrill,Boolean
property,IsConnectedToPlane[Layer: TV6_Layer],Boolean
function,IsCounterHole,Boolean
property,IsElectricalPrim,Boolean
function,IsFreePrimitive,Boolean
function,IsHidden,Boolean
property,IsKeepout,Boolean
property,IsPreRoute,Boolean
function,IsSaveable(AVar : TAdvPCBFileFormatVersion),Boolean
property,IsTenting,Boolean
property,IsTenting_Bottom,Boolean
property,IsTenting_Top,Boolean
property,IsTestpoint_Bottom,Boolean
property,IsTestpoint_Top,Boolean
function,I_ObjectAddress,Pointer
property,Layer,TLayer
property,Layer_V6,TV6_Layer
property,LowLayer,TLayer
procedure,Mirror(Axis : Integer; MirOp : TMirrorOperation),
property,MiscFlag1,Boolean
property,MiscFlag2,Boolean
property,MiscFlag3,Boolean
property,Mode,TPadMode
property,Moveable,Boolean
procedure,MoveByXY(AX : Integer; AY : Integer),
procedure,MoveToXY(AX : Integer; AY : Integer),
property,Net,IPCB_Net
property,ObjectId,TObjectId
property,ObjectIDString,TPCBString
property,PadCacheRobotFlag,Boolean
property,PasteMaskExpansion,TCoord
function,PlaneConnectionStyleForLayer(ALayer : TV6_Layer),TPlaneConnectionStyle
property,Plated,Boolean
property,Polygon,IPCB_Polygon
property,PolygonOutline,Boolean
property,PowerPlaneClearance,TCoord
property,PowerPlaneConnectStyle,TPlaneConnectStyle
property,PowerPlaneReliefExpansion,TCoord
property,ReliefAirGap,TCoord
property,ReliefConductorWidth,TCoord
property,ReliefEntries,Integer
function,Replicate,IPCB_Primitive
function,RequiredParameterSpace,Integer
procedure,RotateAroundXY(AX : Integer; AY : Integer; Angle : Double),
procedure,RotateBy(Angle : Double),
property,Selected,Boolean
procedure,"SetState_Preview(Enable : Boolean; Color : Cardinal; Opacity : Single; z : Integer; Height : Integer; sx : Single; sy : Single; SZ : Single)",
property,ShapeOnLayer[Layer: Integer],TShape
property,Size,TCoord
property,SizeOnLayer[Layer: Integer],TCoord
property,SolderMaskExpansion,TCoord
property,SolderMaskExpansionFromHoleEdge,Boolean
property,StackSizeOnLayer[Layer: Integer],TCoord
property,StartLayer,IPCB_LayerObject
property,StopLayer,IPCB_LayerObject
procedure,SwapLayerPairs,
property,TearDrop,Boolean
property,TemplateLink,IPCB_PadViaTemplateLink
property,UnionIndex,Integer
property,UniqueId,TPCBString
property,Used,Boolean
property,UserRouted,Boolean
property,ViewableObjectID,TViewableObjectID
property,x,TCoord
property,y,TCoord
