MemberType,Name,DataType
property,CanEditFeature[AType: TViaStructureFeatureType],Boolean
property,CanEditMaterial[AType: TViaStructureFeatureType],Boolean
property,CanEditSide[AType: TViaStructureFeatureType],Boolean
procedure,CopyTo(const AViaStructure : IPCB_ViaStructure),
procedure,Deserialize(const AData : WideString),
property,Feature[AIndex: Integer],IPCB_ViaStructureFeature
property,FeatureByType[AType: TViaStructureFeatureType],IPCB_ViaStructureFeature
property,FeaturesCount,Integer
property,FeaturesSide,TViaStructureFeatureSide
function,GetFeatureTypes,TViaStructureFeatureTypeSet
function,IsEqual(AViaStructure : IPCB_ViaStructure),Boolean
function,Replicate,IPCB_ViaStructure
property,Serialize,WideString
property,StructureType,TViaStructureType
property,vIndexForSave,Integer
