MemberType,Name,DataType
procedure,AddAndPositionSchObject,AObject : ISch_BasicContainer
procedure,AddSchObject,AObject : ISch_BasicContainer
property,Container,ISch_BasicContainer
procedure,CopyTo,const AContainer : ISch_BasicContainer
procedure,DeleteAll,
function,ExportToParameters,WideString
procedure,FreeAllContainedObjects,
function,GetState_DescriptionString,WideString
function,GetState_IdentifierString,WideString
function,GetState_SchParameterByName,const AName : WideString : ISch_Parameter
function,GetState_WiringDiagramOriginUniqueId,WideString
property,Handle,WideString
function,Import_FromUser,Boolean
property,I_ObjectAddress,IInterface
property,ObjectId,TObjectId
property,OwnerDocument,ISch_Document
property,PostProcess_Import_FromUser,
property,PreProcess_Import_FromUser,
procedure,RemoveSchObject,AObject : ISch_BasicContainer
function,Replicate,ISch_BasicContainer
function,SchIterator_Create,ISch_Iterator
procedure,SchIterator_Destroy,var AIterator : ISch_Iterator
procedure,SetState_Default,AUnit : TUnitSystem
property,UniqueId,WideString
