MemberType,Name,DataType
procedure,AddAndPositionSchObject,AObject : ISch_BasicContainer
procedure,AddErrorString,const AErrorString : WideString; AtEnd : LongBool
procedure,AddSchObject,AObject : ISch_BasicContainer
property,AreaColor,TColor
property,AutoWire,Boolean
function,BoundingRectangle,IDispatch
function,BoundingRectangle_Full,IDispatch
procedure,ClearAllVertices,
property,Color,TColor
property,Comment,ISch_Parameter
property,CompilationMasked,Boolean
property,CompilationMaskedSegment[AIndex: Integer],Boolean
property,Container,ISch_BasicContainer
procedure,CopyTo,const AContainer : ISch_BasicContainer
procedure,DeleteAll,
property,Designator,ISch_Designator
property,DesignatorLocked,Boolean
property,Dimmed,Boolean
property,Disabled,Boolean
property,DisplayError,Boolean
property,EditingEndPoint,Boolean
property,EnableDraw,Boolean
property,ErrorColor,TColor
property,ErrorKind,TErrorKind
property,ErrorString,WideString
function,ExportToParameters,WideString
procedure,FreeAllContainedObjects,
function,GetHash,WideString
function,GetState_DescriptionString,WideString
function,GetState_DrawnLength,Int64
function,GetState_EndVertex1ConnectedConnectionPointUniqueId,WideString
function,GetState_EndVertex2ConnectedConnectionPointUniqueId,WideString
function,GetState_IdentifierString,WideString
function,GetState_IsEndVertex1ConnectedToAnyConnectionPoint,Boolean
function,GetState_IsEndVertex2ConnectedToAnyConnectionPoint,Boolean
function,GetState_IsHighlighted,Boolean
function,GetState_SchParameterByName,const AName : WideString : ISch_Parameter
function,GetState_ShowBreakSymbol,Boolean
function,GetState_WiringDiagramOriginUniqueId,WideString
procedure,GraphicallyInvalidate,
property,GraphicallyLocked,Boolean
property,Handle,WideString
procedure,HighlightBundle,AHighlightColorBGR : TColor
function,Import_FromUser,Boolean
function,InsertVertex,Index : Integer : Boolean
function,IsLengthSetManually,Boolean
property,IsSolid,Boolean
function,I_ObjectAddress,IInterface
property,Length,Int64
property,LengthParameter,ISch_Parameter
property,LineStyle,TLineStyle
property,LineWidth,TSize
property,LiveHighlightValue,WideString
property,Location,TLocation
procedure,Mirror,const Axis : IDispatch
procedure,MoveByXY,X : Integer; Y : Integer
procedure,MoveToXY,X : Integer; Y : Integer
property,ObjectId,TObjectId
procedure,OrderCrossOverArray,
property,OwnerDocument,ISch_Document
property,OwnerPartDisplayMode,TDisplayMode
property,OwnerPartId,Integer
procedure,PostProcess_Import_FromUser,
procedure,PreProcess_Import_FromUser,
procedure,RemoveHighlight,
procedure,RemoveSchObject,AObject : ISch_BasicContainer
function,RemoveVertex,var Index : Integer : Boolean
function,Replicate,ISch_BasicContainer
procedure,ResetCompilationMaskedSegments,
procedure,ResetErrorFields,
procedure,RotateBy90,const Center : IDispatch; A : TRotationBy90
function,SchIterator_Create,ISch_Iterator
procedure,SchIterator_Destroy,var AIterator : ISch_Iterator
property,Selection,Boolean
procedure,SetState_Default,AUnit : TUnitSystem
procedure,SetState_ShowBreakSymbol,AShowBreakSymbol : Boolean
procedure,SetState_xSizeySize,
property,Transparent,Boolean
property,UnderlineColor,TColor
property,UniqueId,WideString
property,Vertex[Index : Integer],TLocation
property,VerticesCount,Integer
