MemberType,Name,DataType
procedure,AddAndPositionSchObject,AObject : ISch_BasicContainer
procedure,AddErrorString,const AErrorString : WideString; AtEnd : LongBool
procedure,AddSchObject,AObject : ISch_BasicContainer
function,Add_Parameter,const AName : WideString; const AValue : WideString; out AParameter : ISch_Parameter : LongBool
property,AreaColor,TColor
function,BoundingRectangle,IDispatch
function,BoundingRectangle_Full,IDispatch
property,Color,TColor
property,CompilationMasked,Boolean
property,Container,ISch_BasicContainer
procedure,CopyTo,const AContainer : ISch_BasicContainer
procedure,CreateEntry,ISch_HarnessEntry
procedure,DeleteAll,
procedure,DeleteEntry,const AEntry : ISch_HarnessEntry
property,Dimmed,Boolean
property,Disabled,Boolean
property,DisplayError,Boolean
property,EnableDraw,Boolean
property,ErrorColor,TColor
property,ErrorKind,TErrorKind
property,ErrorString,WideString
function,ExportToParameters,WideString
procedure,FreeAllContainedObjects,
function,GetHash,WideString
function,GetState_DescriptionString,WideString
function,GetState_IdentifierString,WideString
function,GetState_SchParameterByName,const AName : WideString : ISch_Parameter
function,GetState_Side,TLeftRightSide
function,GetState_WiringDiagramOriginUniqueId,WideString
procedure,GraphicallyInvalidate,
property,GraphicallyLocked,Boolean
property,Handle,WideString
property,HarnessConnectorType,ISch_HarnessConnectorType
property,HarnessType,WideString
property,HideHarnessConnectorType,Boolean
function,Import_FromUser,Boolean
function,Import_FromUser_Parameters,Boolean
function,I_ObjectAddress,IInterface
property,LineWidth,TSize
property,LiveHighlightValue,WideString
property,Location,TLocation
property,MasterEntryLocation,TLocation
procedure,Mirror,const Axis : IDispatch
procedure,MoveByXY,X : Integer; Y : Integer
procedure,MoveToXY,X : Integer; Y : Integer
property,ObjectId,TObjectId
property,OwnerDocument,ISch_Document
property,OwnerPartDisplayMode,TDisplayMode
property,OwnerPartId,Integer
property,PostProcess_Import_FromUser,
property,PreProcess_Import_FromUser,
property,PrimaryConnectionPosition,TCoord
procedure,RemoveSchObject,AObject : ISch_BasicContainer
function,Remove_Parameter,const Parameter : ISch_Parameter : LongBool
function,Replicate,ISch_BasicContainer
procedure,ResetAllSchParametersPosition,
procedure,ResetErrorFields,
procedure,RotateBy90,const Center : IDispatch; A : TRotationBy90
function,SchIterator_Create,ISch_Iterator
procedure,SchIterator_Destroy,var AIterator : ISch_Iterator
property,Selection,Boolean
procedure,SetState_Default,AUnit : TUnitSystem
procedure,SetState_Side,AValue : TLeftRightSide
procedure,SetState_xSizeySize,
property,UniqueId,WideString
property,XSize,TCoord
property,YSize,TCoord
