MemberType,Name,DataType
procedure,AddAndPositionSchObject,AObject : ISch_BasicContainer
function,AddBundleItem,const ABundle : ISch_HarnessBundle : ICoveredItem
function,AddComponentItem,const AComponent : ISch_HarnessComponent; const AFirstPin : WideString; const ALastPin : WideString : ICoveredItem
function,AddConnectionPointItem,const AConnectionPoint : ISch_HarnessLayoutConnectionPoint : ICoveredItem
procedure,AddErrorString,const AErrorString : WideString; AtEnd : LongBool
procedure,AddSchObject,AObject : ISch_BasicContainer
property,AreaColor,TColor
procedure,AttachToNewBundle,const ABundle : ISch_HarnessBundle; const AHitLocation : IDispatch
procedure,BeginUpdate,
property,BorderSize,TSize
function,BoundingRectangle,IDispatch
function,BoundingRectangle_Full,IDispatch
property,Color,TColor
property,Comment,ISch_Parameter
property,CompilationMasked,Boolean
property,Container,ISch_BasicContainer
procedure,CopyTo,const AContainer : ISch_BasicContainer
procedure,DeleteAll,
property,Designator,ISch_Designator
property,DesignatorLocked,Boolean
property,Dimmed,Boolean
property,Disabled,Boolean
property,DisplayError,Boolean
property,EnableDraw,Boolean
procedure,EndUpdate,
property,ErrorColor,TColor
property,ErrorKind,TErrorKind
property,ErrorString,WideString
function,ExportToParameters,WideString
procedure,FreeAllContainedObjects,
function,GetHash,WideString
function,GetState_Brush,THarnessBrush
function,GetState_ComponentKind,TComponentKind
function,GetState_DescriptionString,WideString
function,GetState_IdentifierString,WideString
function,GetState_PhysicalEndPointDistance,Int64
function,GetState_PhysicalLength,Int64
function,GetState_PhysicalStartPointDistance,Int64
function,GetState_SchParameterByName,const AName : WideString : ISch_Parameter
function,GetState_WiringDiagramOriginUniqueId,WideString
procedure,GraphicallyInvalidate,
property,GraphicallyLocked,Boolean
property,Handle,WideString
function,Import_FromUser,Boolean
property,Item[AIndex: Integer],ICoveredItem
property,ItemsCount,Integer
function,I_ObjectAddress,IInterface
property,LiveHighlightValue,WideString
property,Location,TLocation
procedure,Mirror,const Axis : IDispatch
procedure,MoveByXY,X : Integer; Y : Integer
procedure,MoveToXY,X : Integer; Y : Integer
property,ObjectId,TObjectId
property,OwnerDocument,ISch_Document
property,OwnerPartDisplayMode,TDisplayMode
property,OwnerPartId,Integer
procedure,PostProcess_Import_FromUser,
procedure,PreProcess_Import_FromUser,
procedure,RemoveAllItems,
procedure,RemoveItem,AIndex : Integer
procedure,RemoveSchObject,AObject : ISch_BasicContainer
function,Replicate,ISch_BasicContainer
procedure,ResetErrorFields,
procedure,RotateBy90,const Center : IDispatch; A : TRotationBy90
function,SchIterator_Create,ISch_Iterator
procedure,SchIterator_Destroy,var AIterator : ISch_Iterator
property,Selection,Boolean
procedure,SetState_Brush,AValue : THarnessBrush
procedure,SetState_ComponentKind,AValue : TComponentKind
procedure,SetState_Default,AUnit : TUnitSystem
procedure,SetState_PhysicalEndPointDistance,const AValue : Int64
procedure,SetState_PhysicalStartPointDistance,const AValue : Int64
procedure,SetState_xSizeySize,
property,Thickness,Byte
property,Transparent,Boolean
property,UniqueId,WideString
