MemberType,Name,DataType
procedure,AddAndPositionSchObject,AObject : ISch_BasicContainer
procedure,AddErrorString,const AErrorString : WideString; AtEnd : LongBool
procedure,AddSchObject,AObject : ISch_BasicContainer
property,Alignment,THorizontalAlign
property,AreaColor,TColor
function,BoundingRectangle,IDispatch
function,BoundingRectangle_Full,IDispatch
property,CalculatedValueString,WideString
property,Color,TColor
property,Comment,ISch_Parameter
property,CompilationMasked,Boolean
property,Container,ISch_BasicContainer
procedure,CopyTo,const AContainer : ISch_BasicContainer
procedure,DeleteAll,
property,Designator,ISch_Designator
property,DesignatorLocked,Boolean
property,Dimmed,Boolean
property,Disabled,Boolean
property,DisplayError,Boolean
property,DisplayString,WideString
property,EnableDraw,Boolean
property,ErrorColor,TColor
property,ErrorKind,TErrorKind
property,ErrorString,WideString
function,ExportToParameters,WideString
property,FontID,TFontID
property,FontID,Integer
property,Formula,WideString
procedure,FreeAllContainedObjects,
function,GetHash,WideString
function,GetState_ComponentKind,TComponentKind
function,GetState_DescriptionString,WideString
function,GetState_IdentifierString,WideString
function,GetState_SchParameterByName,const AName : WideString : ISch_Parameter
function,GetState_SimpleCalculatedString,WideString
function,GetState_WiringDiagramOriginUniqueId,WideString
procedure,GraphicallyInvalidate,
property,GraphicallyLocked,Boolean
property,Handle,WideString
function,Import_FromUser,Boolean
property,IsMirrored,Boolean
function,I_ObjectAddress,IInterface
property,Justification,TTextJustification
property,LiveHighlightValue,WideString
property,Location,TLocation
procedure,Mirror,const Axis : IDispatch
procedure,MoveByXY,X : Integer; Y : Integer
procedure,MoveToXY,X : Integer; Y : Integer
property,ObjectId,TObjectId
property,Orientation,TRotationBy90
property,OverrideDisplayString,WideString
property,OwnerDocument,ISch_Document
property,OwnerPartDisplayMode,TDisplayMode
property,OwnerPartId,Integer
procedure,PostProcess_Import_FromUser,
procedure,PreProcess_Import_FromUser,
procedure,RemoveSchObject,AObject : ISch_BasicContainer
function,Replicate,ISch_BasicContainer
procedure,ResetErrorFields,
procedure,RotateBy90,const Center : IDispatch; A : TRotationBy90
function,SchIterator_Create,ISch_Iterator
procedure,SchIterator_Destroy,var AIterator : ISch_Iterator
property,Selection,Boolean
procedure,SetState_ComponentKind,AValue : TComponentKind
procedure,SetState_Default,AUnit : TUnitSystem
procedure,SetState_xSizeySize,
procedure,ShowOnlyFirstLine,Boolean
property,Text,WideString
property,TextColor,TColor
property,UniqueId,WideString
