MemberType,Name,DataType
procedure,AddAndPositionSchObject,AObject : ISch_BasicContainer
procedure,AddErrorString,const AErrorString : WideString; AtEnd : LongBool
procedure,AddSchObject,AObject : ISch_BasicContainer
property,AreaColor,TColor
property,AutoWire,Boolean
function,BoundingRectangle,IDispatch
function,BoundingRectangle_Full,IDispatch
procedure,ClearAllVertices,
property,Color,TColor
property,Comment,ISch_Parameter
property,CompilationMasked,Boolean
property,CompilationMaskedSegment[AIndex: Integer],Boolean
property,Container,ISch_BasicContainer
procedure,CopyTo,const AContainer : ISch_BasicContainer
procedure,DeleteAll,
property,Description,ISch_Parameter
property,Designator,ISch_Designator
property,DesignatorLocked,Boolean
property,Dimmed,Boolean
property,Disabled,Boolean
property,DisplayError,Boolean
property,EditingEndPoint,Boolean
property,EnableDraw,Boolean
property,ErrorColor,TColor
property,ErrorKind,TErrorKind
property,ErrorString,WideString
function,ExportToParameters,WideString
procedure,FreeAllContainedObjects,
function,GetHash,WideString
function,GetState_BorderColor,TColor
function,GetState_BorderColorName,WideString
function,GetState_ComponentKind,TComponentKind
function,GetState_ConnectedCablesUniqueIdsCount,Integer
function,GetState_ConnectedCableUniqueId,AIndex : Integer : WideString
function,GetState_ConnectedInlineSplicesUniqueIdsCount,Integer
function,GetState_ConnectedInlineSpliceUniqueId,AIndex : Integer : WideString
function,GetState_ConnectedShieldsUniqueIdsCount,Integer
function,GetState_ConnectedShieldUniqueId,AIndex : Integer : WideString
function,GetState_ConnectedTwistsUniqueIdsCount,Integer
function,GetState_ConnectedTwistUniqueId,AIndex : Integer : WideString
function,GetState_ConnectedWireLabelsUniqueIdsCount,Integer
function,GetState_ConnectedWireLabelUniqueId,AIndex : Integer : WideString
function,GetState_DescriptionString,WideString
function,GetState_EndVertex1ConnectedObjectUniqueId,WideString
function,GetState_EndVertex2ConnectedObjectUniqueId,WideString
function,GetState_IdentifierString,WideString
function,GetState_IsConnectedToAnyCable,Boolean
function,GetState_IsConnectedToAnyInlineSplice,Boolean
function,GetState_IsConnectedToAnyShield,Boolean
function,GetState_IsConnectedToAnyTwist,Boolean
function,GetState_IsConnectedToAnyWireLabel,Boolean
function,GetState_IsEndVertex1ConnectedToAnyObject,Boolean
function,GetState_IsEndVertex2ConnectedToAnyObject,Boolean
function,GetState_IsHighlighted,Boolean
function,GetState_PrimaryColorName,WideString
function,GetState_SchParameterByName,const AName : WideString : ISch_Parameter
function,GetState_SecondaryColor,TColor
function,GetState_SecondaryColorName,WideString
function,GetState_TertiaryColor,TColor
function,GetState_TertiaryColorName,WideString
function,GetState_WiringDiagramOriginUniqueId,WideString
procedure,GraphicallyInvalidate,
property,GraphicallyLocked,Boolean
property,Handle,WideString
function,Import_FromUser,Boolean
function,InsertVertex,Index : Integer : Boolean
property,IsSolid,Boolean
function,I_ObjectAddress,IInterface
property,LineStyle,TLineStyle
property,LineWidth,TSize
property,LiveHighlightValue,WideString
property,Location,TLocation
procedure,Mirror,const Axis : IDispatch
procedure,MoveByXY,X : Integer; Y : Integer
procedure,MoveToXY,X : Integer; Y : Integer
property,ObjectId,TObjectId
procedure,OrderCrossOverArray,
property,OwnerDocument,ISch_Document
property,OwnerPartDisplayMode,TDisplayMode
property,OwnerPartId,Integer
procedure,PostProcess_Import_FromUser,
procedure,PreProcess_Import_FromUser,
procedure,RemoveSchObject,AObject : ISch_BasicContainer
function,RemoveVertex,var Index : Integer : Boolean
function,Replicate,ISch_BasicContainer
procedure,ResetCompilationMaskedSegments,
procedure,ResetErrorFields,
procedure,RestoreProperties,
procedure,RotateBy90,const Center : IDispatch; A : TRotationBy90
procedure,SaveProperties,
function,SchIterator_Create,ISch_Iterator
procedure,SchIterator_Destroy,var AIterator : ISch_Iterator
property,Selection,Boolean
procedure,SetState_BorderColor,AColor : TColor
procedure,SetState_BorderColorName,AColorName : WideString
procedure,SetState_ComponentKind,AValue : TComponentKind
procedure,SetState_Default,AUnit : TUnitSystem
procedure,SetState_PrimaryColorName,AColorName : WideString
procedure,SetState_SecondaryColor,AColor : TColor
procedure,SetState_SecondaryColorName,AColorName : WideString
procedure,SetState_TertiaryColor,AColor : TColor
procedure,SetState_TertiaryColorName,AColorName : WideString
procedure,SetState_xSizeySize,
property,Transparent,Boolean
property,UnderlineColor,TColor
property,UniqueId,WideString
property,Vertex[Index : Integer],TLocation
property,VerticesCount,Integer
