MemberType,Name,DataType
procedure,AddAndPositionSchObject,AObject : ISch_BasicContainer
procedure,AddErrorString,const AErrorString : WideString; AtEnd : LongBool
procedure,AddSchObject,AObject : ISch_BasicContainer
property,AreaColor,TColor
function,BoundingRectangle,IDispatch
function,BoundingRectangle_Full,IDispatch
property,CalculatedValueString,WideString
property,Color,TColor
property,CompilationMasked,Boolean
property,Container,ISch_BasicContainer
procedure,CopyTo,const AContainer : ISch_BasicContainer
property,CrossSheetStyle,TCrossSheetConnectorStyle
procedure,DeleteAll,
procedure,DeleteCrossRef,
property,Dimmed,Boolean
property,Disabled,Boolean
property,DisplayError,Boolean
property,DisplayString,WideString
property,EnableDraw,Boolean
property,ErrorColor,TColor
property,ErrorKind,TErrorKind
property,ErrorString,WideString
function,ExportToParameters,WideString
property,FontID,TFontID
property,Formula,WideString
procedure,FreeAllContainedObjects,
function,GetHash,WideString
function,GetState_BorderColor,TColor
function,GetState_BorderColorString,WideString
function,GetState_ConnectedWireUniqueId,WideString
function,GetState_CrossRef,WideString
function,GetState_DescriptionString,WideString
function,GetState_IdentifierString,WideString
function,GetState_IsConnectedToAnyWire,Boolean
function,GetState_PrimaryColor,TColor
function,GetState_PrimaryColorString,WideString
function,GetState_SchParameterByName,const AName : WideString : ISch_Parameter
function,GetState_SecondaryColor,TColor
function,GetState_SecondaryColorString,WideString
function,GetState_SimpleCalculatedString,WideString
function,GetState_TertiaryColor,TColor
function,GetState_TertiaryColorString,WideString
function,GetState_WiringDiagramOriginUniqueId,WideString
procedure,GraphicallyInvalidate,
property,GraphicallyLocked,Boolean
property,Handle,WideString
function,Import_FromUser,Boolean
property,IsCustomStyle,Boolean
property,IsMirrored,Boolean
function,I_ObjectAddress,IInterface
property,Justification,TTextJustification
property,LiveHighlightValue,WideString
property,Location,TLocation
procedure,Mirror,const Axis : IDispatch
procedure,MoveByXY,X : Integer; Y : Integer
procedure,MoveToXY,X : Integer; Y : Integer
property,ObjectId,TObjectId
property,Orientation,TRotationBy90
property,OverrideDisplayString,WideString
property,OwnerDocument,ISch_Document
property,OwnerPartDisplayMode,TDisplayMode
property,OwnerPartId,Integer
procedure,PostProcess_Import_FromUser,
procedure,PreProcess_Import_FromUser,
procedure,RemoveSchObject,AObject : ISch_BasicContainer
function,Replicate,ISch_BasicContainer
procedure,ResetErrorFields,
procedure,RestoreProperties,
procedure,RotateBy90,const Center : IDispatch; A : TRotationBy90
procedure,SaveProperties,
function,SchIterator_Create,ISch_Iterator
procedure,SchIterator_Destroy,var AIterator : ISch_Iterator
property,Selection,Boolean
procedure,SetState_BorderColor,const AValue : TColor
procedure,SetState_BorderColorString,const AValue : WideString
procedure,SetState_CrossRef,AValue : WideString
procedure,SetState_Default,AUnit : TUnitSystem
procedure,SetState_NameWithColorSync,const AName : WideString
procedure,SetState_PrimaryColor,const AValue : TColor
procedure,SetState_PrimaryColorString,const AValue : WideString
procedure,SetState_SecondaryColor,const AValue : TColor
procedure,SetState_SecondaryColorString,const AValue : WideString
procedure,SetState_TertiaryColor,const AValue : TColor
procedure,SetState_TertiaryColorString,const AValue : WideString
procedure,SetState_xSizeySize,
property,ShowNetName,Boolean
property,Style,TPowerObjectStyle
property,Text,WideString
property,UniqueId,WideString
