MemberType,Name,DataType
procedure,AddAndPositionSchObject,AObject : ISch_BasicContainer
procedure,AddSchObject,AObject : ISch_BasicContainer
function,BundleToGoThroughAssignment,Index : Integer : WideString
function,BundleToGoThroughAssignmentsCount,Integer
property,Color,TColor
property,ColorName,WideString
property,Comment,WideString
property,Container,ISch_BasicContainer
function,ContainsBundleToGoThroughUniqueId,const ABundleUniqueId : WideString : Boolean
procedure,CopyTo,const AContainer : ISch_BasicContainer
procedure,DeleteAll,
property,Description,WideString
function,ExportToParameters,WideString
procedure,FreeAllContainedObjects,
function,GetState_AutogeneratedLength,Int64
function,GetState_ConnectedCable,AIndex : Integer : ISch_BasicContainer
function,GetState_ConnectedCablesUniqueIdsCount,Integer
function,GetState_ConnectedCableUniqueId,AIndex : Integer : WideString
function,GetState_ConnectedInlineSplicesUniqueId,AIndex : Integer : WideString
function,GetState_ConnectedInlineSplicesUniqueIdsCount,Integer
function,GetState_ConnectedShieldsUniqueIdsCount,Integer
function,GetState_ConnectedShieldUniqueId,AIndex : Integer : WideString
function,GetState_ConnectedTwist,AIndex : Integer : ISch_BasicContainer
function,GetState_ConnectedTwistsUniqueIdsCount,Integer
function,GetState_ConnectedTwistUniqueId,AIndex : Integer : WideString
function,GetState_DescriptionString,WideString
function,GetState_EndVertex1ConnectedObjectUniqueId,WideString
function,GetState_EndVertex1ConnectedSchObject,ISch_BasicContainer
function,GetState_EndVertex2ConnectedObjectUniqueId,WideString
function,GetState_EndVertex2ConnectedSchObject,ISch_BasicContainer
function,GetState_IdentifierString,WideString
function,GetState_IncludeCut,Boolean
function,GetState_IsConnectedToAnyCable,Boolean
function,GetState_IsConnectedToAnyInlineSplices,Boolean
function,GetState_IsConnectedToAnyShield,Boolean
function,GetState_IsConnectedToAnyTwist,Boolean
function,GetState_IsEndVertex1ConnectedToAnyObject,Boolean
function,GetState_IsEndVertex2ConnectedToAnyObject,Boolean
function,GetState_SchParameterByName,const AName : WideString : ISch_Parameter
function,GetState_TotalLength,Int64
function,GetState_WiringDiagramOriginUniqueId,WideString
property,Handle,WideString
function,Import_FromUser,Boolean
function,I_ObjectAddress,IInterface
property,Length,Int64
property,Name,WideString
property,ObjectId,TObjectId
property,OwnerDocument,ISch_Document
procedure,PostProcess_Import_FromUser,
procedure,PreProcess_Import_FromUser,
procedure,RemoveSchObject,AObject : ISch_BasicContainer
function,Replicate,ISch_BasicContainer
function,SchIterator_Create,ISch_Iterator
procedure,SchIterator_Destroy,var AIterator : ISch_Iterator
procedure,SetState_Default,AUnit : TUnitSystem
property,UniqueId,WideString
