MemberType,Name,DataType
procedure,ApplyChosenComponent,const DestComponent : IDispatch
property,ChooseFromLibrary,IDispatch
property,DesignItemId,WideString
function,GetState_LibIdentifierKind,TLibIdentifierKind
function,GetState_LibraryIdentifier,WideString
property,ItemGUID,WideString
property,LibraryPath,WideString
property,RevisionGUID,WideString
procedure,ShowInVaultExplorer,
property,SourceLibraryName,WideString
property,UseLibraryName,Boolean
procedure,ValidateLink,
property,VaultGUID,WideString
